#Idx,EeV,g,rIn,v,J,ECB,Group
1,-1.109407e+01,1.000000e+00,2.048310e+00,0,0,1.109407e+01,1
2,-1.109359e+01,3.000000e+00,2.048323e+00,0,1,1.109359e+01,1
3,-1.109264e+01,5.000000e+00,2.048349e+00,0,2,1.109264e+01,1
4,-1.109121e+01,7.000000e+00,2.048387e+00,0,3,1.109122e+01,1
5,-1.108930e+01,9.000000e+00,2.048439e+00,0,4,1.108932e+01,1
6,-1.108692e+01,1.100000e+01,2.048503e+00,0,5,1.108695e+01,1
7,-1.108407e+01,1.300000e+01,2.048580e+00,0,6,1.108411e+01,1
8,-1.108073e+01,1.500000e+01,2.048669e+00,0,7,1.108080e+01,1
9,-1.107692e+01,1.700000e+01,2.048772e+00,0,8,1.107702e+01,1
10,-1.107264e+01,1.900000e+01,2.048888e+00,0,9,1.107277e+01,1
11,-1.106788e+01,2.100000e+01,2.049016e+00,0,10,1.106806e+01,1
12,-1.106264e+01,2.300000e+01,2.049157e+00,0,11,1.106288e+01,1
13,-1.105693e+01,2.500000e+01,2.049311e+00,0,12,1.105724e+01,1
14,-1.105074e+01,2.700000e+01,2.049478e+00,0,13,1.105113e+01,1
15,-1.104408e+01,2.900000e+01,2.049658e+00,0,14,1.104456e+01,1
16,-1.103695e+01,3.100000e+01,2.049850e+00,0,15,1.103753e+01,1
17,-1.102934e+01,3.300000e+01,2.050056e+00,0,16,1.103005e+01,1
18,-1.102126e+01,3.500000e+01,2.050274e+00,0,17,1.102210e+01,1
19,-1.101270e+01,3.700000e+01,2.050505e+00,0,18,1.101369e+01,1
20,-1.100367e+01,3.900000e+01,2.050750e+00,0,19,1.100483e+01,1
21,-1.099417e+01,4.100000e+01,2.051007e+00,0,20,1.099552e+01,1
22,-1.098419e+01,4.300000e+01,2.051277e+00,0,21,1.098575e+01,1
23,-1.097374e+01,4.500000e+01,2.051560e+00,0,22,1.097553e+01,1
24,-1.096282e+01,4.700000e+01,2.051856e+00,0,23,1.096486e+01,1
25,-1.095143e+01,4.900000e+01,2.052165e+00,0,24,1.095375e+01,2
26,-1.093957e+01,5.100000e+01,2.052487e+00,0,25,1.094218e+01,2
27,-1.092724e+01,5.300000e+01,2.052822e+00,0,26,1.093017e+01,2
28,-1.091444e+01,5.500000e+01,2.053170e+00,0,27,1.091771e+01,2
29,-1.090117e+01,5.700000e+01,2.053530e+00,0,28,1.090481e+01,2
30,-1.088743e+01,5.900000e+01,2.053904e+00,0,29,1.089147e+01,2
