#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,4
67,3
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,4
84,4
85,4
86,4
87,4
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,6
123,6
124,6
125,6
126,6
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,6
139,6
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,7
150,6
151,6
152,7
153,7
154,6
155,7
156,7
157,7
158,7
159,6
160,7
161,7
162,7
163,7
164,7
165,7
166,7
167,7
168,7
169,7
170,7
171,7
172,7
173,7
174,7
175,7
176,7
177,7
178,7
179,7
180,7
181,7
182,7
183,7
184,7
185,7
186,7
187,8
188,8
189,7
190,8
191,8
192,8
193,7
194,8
195,8
196,8
197,8
198,8
199,8
200,8
201,8
202,8
203,8
204,8
205,8
206,8
207,8
208,8
209,8
210,8
211,8
212,8
213,8
214,8
215,8
216,8
217,8
218,8
219,8
220,8
221,8
222,9
223,8
224,9
225,9
226,9
227,8
228,9
229,9
230,9
231,9
232,8
233,9
234,9
235,9
236,9
237,9
238,9
239,9
240,9
241,8
242,9
243,9
244,9
245,9
246,9
247,9
248,9
249,9
250,9
251,9
252,9
253,9
254,9
255,9
256,9
257,9
258,9
259,9
260,9
261,9
262,10
263,10
264,10
265,9
266,9
267,10
268,10
269,10
270,10
271,10
272,10
273,9
274,10
275,10
276,10
277,10
278,10
279,10
280,10
281,10
282,10
283,10
284,10
285,10
286,10
287,10
288,10
289,10
290,10
291,10
292,10
293,10
294,10
295,10
296,10
297,10
298,10
299,10
300,10
301,10
302,11
303,11
304,10
305,11
306,10
307,11
308,10
309,11
310,11
311,11
312,10
313,11
314,10
315,11
316,11
317,11
318,10
319,11
320,11
321,11
322,11
323,11
324,10
325,11
326,11
327,11
328,11
329,11
330,11
331,11
332,11
333,11
334,11
335,11
336,11
337,11
338,11
339,11
340,11
341,11
342,11
343,11
344,12
345,11
346,11
347,12
348,11
349,12
350,12
351,11
352,12
353,11
354,11
355,12
356,12
357,12
358,12
359,12
360,12
361,12
362,12
363,12
364,11
365,12
366,12
367,12
368,11
369,12
370,12
371,12
372,12
373,12
374,12
375,12
376,12
377,12
378,12
379,12
380,12
381,12
382,12
383,12
384,12
385,12
386,12
387,12
388,12
389,12
390,12
391,13
392,12
393,13
394,13
395,12
396,13
397,12
398,12
399,12
400,13
401,13
402,12
403,13
404,13
405,13
406,13
407,13
408,12
409,13
410,12
411,13
412,13
413,13
414,12
415,13
416,13
417,13
418,12
419,13
420,13
421,12
422,13
423,13
424,13
425,13
426,13
427,13
428,13
429,13
430,13
431,13
432,13
433,13
434,13
435,13
436,13
437,14
438,13
439,14
440,13
441,13
442,14
443,13
444,13
445,14
446,14
447,14
448,14
449,14
450,14
451,14
452,14
453,14
454,14
455,14
456,13
457,14
458,13
459,14
460,14
461,14
462,14
463,14
464,14
465,13
466,14
467,14
468,14
469,14
470,14
471,14
472,14
473,14
474,13
475,14
476,14
477,14
478,14
479,14
480,14
481,14
482,13
483,14
484,14
485,14
486,14
487,14
488,14
489,14
490,15
491,14
492,15
493,14
494,14
495,15
496,15
497,14
498,14
499,15
500,14
501,14
502,15
503,15
504,15
505,14
506,15
507,15
508,15
509,15
510,14
511,15
512,14
513,15
514,15
515,14
516,15
517,15
518,15
519,15
520,15
521,15
522,15
523,14
524,15
525,15
526,15
527,15
528,15
529,14
530,15
531,15
532,15
533,16
534,15
535,15
536,15
537,14
538,16
539,15
540,16
541,16
542,16
543,16
544,16
545,16
546,15
547,16
548,16
549,15
550,16
551,16
552,15
553,16
554,15
555,16
556,16
557,16
558,16
559,16
560,16
561,15
562,15
563,16
564,16
565,16
566,16
567,16
568,16
569,15
570,15
571,16
572,16
573,16
574,16
575,16
576,16
577,16
578,16
579,15
580,15
581,16
582,16
583,16
584,16
585,16
586,16
587,15
588,16
589,16
590,16
591,16
592,16
593,16
594,17
595,15
596,16
597,15
598,17
599,17
600,16
601,16
