#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,3
45,3
46,2
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,4
70,3
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,4
84,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,5
98,4
99,4
100,5
101,5
102,5
103,5
104,5
105,4
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,6
127,5
128,5
129,6
130,6
131,6
132,5
133,6
134,6
135,5
136,6
137,6
138,6
139,6
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,6
150,6
151,6
152,6
153,6
154,6
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,7
164,6
165,6
166,6
167,7
168,7
169,7
170,6
171,7
172,6
173,7
174,7
175,7
176,7
177,7
178,7
179,6
180,7
181,7
182,7
183,7
184,7
185,6
186,7
187,7
188,7
189,7
190,7
191,6
192,7
193,7
194,7
195,7
196,7
197,7
198,8
199,7
200,8
201,7
202,8
203,8
204,8
205,8
206,8
207,8
208,7
209,8
210,8
211,8
212,8
213,8
214,8
215,8
216,7
217,8
218,8
219,8
220,8
221,7
222,8
223,8
224,8
225,8
226,7
227,8
228,8
229,8
230,7
231,8
232,8
233,8
234,8
235,8
236,8
237,8
238,8
239,8
240,7
241,9
242,8
243,8
244,9
245,8
246,9
247,9
248,7
249,8
250,9
251,8
252,9
253,9
254,9
255,8
256,8
257,9
258,9
259,9
260,9
261,9
262,9
263,8
264,8
265,9
266,9
267,9
268,9
269,8
270,9
271,9
272,8
273,9
274,10
275,10
276,10
277,9
278,10
279,10
280,10
281,9
282,10
283,9
284,10
285,10
286,10
287,10
288,8
289,10
290,9
291,10
292,10
293,10
294,10
295,10
296,9
297,10
298,10
299,10
300,10
301,9
302,8
303,10
304,10
305,10
306,9
307,10
308,10
309,10
310,9
311,10
312,9
313,10
314,10
315,10
316,9
317,10
318,10
319,10
320,10
321,10
322,10
323,9
324,10
325,9
326,10
327,10
328,10
329,11
330,10
331,11
332,9
333,10
334,9
335,10
336,11
337,11
338,11
339,11
340,10
341,10
342,11
343,9
344,10
345,11
346,11
347,11
348,10
349,11
350,11
351,10
352,9
353,11
354,11
355,11
356,11
357,11
358,11
359,11
360,11
361,11
362,11
363,11
364,10
365,11
366,11
367,11
368,11
369,10
370,11
371,11
372,11
373,11
374,9
375,12
376,12
377,10
378,11
379,12
380,11
381,12
382,11
383,12
384,10
385,12
386,12
387,10
388,11
389,12
390,12
391,12
392,11
393,12
394,12
395,10
396,12
397,12
398,12
399,11
400,10
401,11
402,12
403,12
404,12
405,12
406,10
407,12
408,12
409,11
410,11
411,12
412,10
413,12
414,12
415,12
416,11
417,12
418,12
419,12
420,11
421,12
422,13
423,10
424,12
425,12
426,13
427,12
428,11
429,11
430,13
431,13
432,12
433,13
434,10
435,12
436,13
437,11
438,13
439,13
440,13
441,11
442,13
443,13
444,13
445,13
446,12
447,13
448,13
449,13
450,13
451,13
452,12
453,13
454,13
455,11
456,13
457,13
458,12
459,13
460,13
461,13
462,11
463,13
464,13
465,13
466,12
467,13
468,13
469,13
470,13
471,13
472,12
473,11
474,13
475,11
476,13
477,13
478,12
479,13
480,14
481,13
482,14
483,14
484,12
485,13
486,14
487,11
488,13
489,12
490,14
491,13
492,14
493,13
494,14
495,14
496,12
497,14
498,13
499,13
500,14
501,14
502,11
503,14
504,12
505,14
506,13
507,14
508,14
509,12
510,14
511,13
512,14
513,14
514,12
515,12
516,14
517,14
518,13
519,13
520,13
521,14
522,14
523,14
524,14
525,14
526,12
527,14
528,12
529,15
530,15
531,15
532,15
533,13
534,15
535,15
536,13
537,15
538,15
539,14
540,15
541,15
542,15
543,15
544,15
545,14
546,15
547,15
548,15
549,12
550,15
551,15
552,14
553,13
554,12
555,15
556,13
557,15
558,15
559,14
560,15
561,15
562,15
563,14
564,15
565,15
566,14
567,13
568,15
569,15
570,13
571,15
572,14
573,12
574,15
575,15
576,15
577,15
578,15
579,15
580,14
581,14
582,15
583,13
584,15
585,15
586,13
587,15
588,15
589,12
590,15
591,16
592,14
593,15
594,14
595,16
596,15
597,16
598,13
599,13
600,16
601,16
