#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,1
42,2
43,2
44,2
45,2
46,1
47,2
48,2
49,2
50,1
51,2
52,2
53,1
54,2
55,2
56,1
57,2
58,2
59,1
60,2
61,2
62,1
63,2
64,2
65,1
66,2
67,1
68,2
69,2
70,1
71,2
72,2
73,1
74,2
75,1
76,2
77,2
78,1
79,2
80,2
81,2
82,2
83,2
84,1
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,1
94,2
95,2
96,2
97,2
98,2
99,1
100,2
101,2
102,2
103,2
104,2
105,1
106,2
107,2
108,2
109,1
110,2
111,2
112,2
113,2
114,2
115,1
116,2
117,2
118,2
119,1
120,2
121,2
122,2
123,1
124,2
125,2
126,2
127,2
128,1
129,2
130,2
131,2
132,1
133,2
134,2
135,1
136,2
137,3
138,3
139,3
140,3
141,3
142,2
143,3
144,3
145,2
146,3
147,3
148,3
149,1
150,3
151,2
152,2
153,3
154,3
155,3
156,2
157,3
158,2
159,1
160,3
161,2
162,3
163,3
164,2
165,1
166,2
167,3
168,3
169,2
170,2
171,3
172,1
173,3
174,2
175,3
176,2
177,3
178,2
179,1
180,3
181,2
182,3
183,2
184,3
185,1
186,2
187,2
188,3
189,3
190,2
191,1
192,2
193,3
194,2
195,3
196,2
197,1
198,3
199,2
200,3
201,2
202,3
203,3
204,3
205,3
206,3
207,3
208,1
209,2
210,3
211,3
212,3
213,3
214,3
215,3
216,2
217,3
218,2
219,3
220,3
221,1
222,3
223,3
224,3
225,2
226,2
227,3
228,3
229,3
230,1
231,3
232,2
233,3
234,3
235,2
236,3
237,3
238,3
239,2
240,1
241,3
242,2
243,3
244,3
245,2
246,3
247,3
248,1
249,2
250,3
251,2
252,3
253,3
254,3
255,2
256,1
257,2
258,3
259,3
260,3
261,3
262,2
263,2
264,1
265,3
266,3
267,3
268,2
269,2
270,3
271,3
272,5
273,3
274,3
275,3
276,3
277,2
278,3
279,3
280,3
281,3
282,3
283,2
284,3
285,3
286,3
287,3
288,5
289,3
290,2
291,3
292,3
293,3
294,3
295,3
296,2
297,3
298,3
299,3
300,3
301,2
302,5
303,3
304,3
305,3
306,2
307,3
308,3
309,3
310,2
311,3
312,5
313,3
314,3
315,3
316,2
317,3
318,2
319,3
320,3
321,3
322,3
323,5
324,3
325,2
326,3
327,2
328,3
329,3
330,3
331,3
332,5
333,2
334,2
335,3
336,3
337,3
338,3
339,3
340,3
341,2
342,3
343,5
344,2
345,3
346,3
347,3
348,2
349,3
350,3
351,5
352,5
353,3
354,4
355,4
356,4
357,4
358,4
359,3
360,4
361,4
362,3
363,4
364,2
365,3
366,4
367,4
368,4
369,5
370,4
371,3
372,3
373,3
374,5
375,4
376,4
377,2
378,3
379,4
380,3
381,4
382,3
383,4
384,5
385,3
386,4
387,5
388,2
389,3
390,4
391,3
392,3
393,4
394,4
395,5
396,3
397,3
398,4
399,2
400,5
401,3
402,3
403,4
404,3
405,4
406,5
407,3
408,4
409,2
410,3
411,3
412,5
413,4
414,3
415,4
416,5
417,3
418,3
419,3
420,2
421,4
422,4
423,5
424,3
425,3
426,4
427,3
428,5
429,2
430,3
431,4
432,3
433,4
434,5
435,3
436,3
437,5
438,4
439,4
440,4
441,5
442,4
443,4
444,4
445,4
446,3
447,4
448,3
449,4
450,4
451,4
452,3
453,4
454,4
455,5
456,4
457,4
458,5
459,3
460,3
461,4
462,5
463,4
464,4
465,4
466,3
467,4
468,3
469,3
470,4
471,4
472,5
473,5
474,4
475,5
476,4
477,3
478,3
479,4
480,4
481,3
482,4
483,4
484,5
485,3
486,4
487,5
488,3
489,5
490,4
491,3
492,4
493,3
494,4
495,4
496,5
497,4
498,3
499,3
500,4
501,3
502,5
503,4
504,5
505,4
506,3
507,4
508,4
509,5
510,3
511,3
512,4
513,4
514,5
515,5
516,4
517,3
518,3
519,3
520,5
521,4
522,4
523,3
524,4
525,3
526,5
527,4
528,5
529,4
530,4
531,4
532,4
533,6
534,4
535,4
536,5
537,4
538,4
539,3
540,4
541,4
542,4
543,4
544,4
545,3
546,4
547,4
548,4
549,5
550,4
551,4
552,3
553,6
554,5
555,4
556,5
557,4
558,4
559,3
560,4
561,4
562,4
563,3
564,4
565,4
566,6
567,5
568,4
569,4
570,5
571,4
572,3
573,5
574,4
575,3
576,4
577,4
578,4
579,4
580,6
581,3
582,4
583,5
584,4
585,3
586,5
587,4
588,4
589,5
590,4
591,4
592,6
593,3
594,3
595,4
596,4
597,4
598,5
599,5
600,4
601,4
