#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,2
36,2
37,1
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,1
46,2
47,2
48,2
49,1
50,2
51,2
52,2
53,1
54,2
55,2
56,1
57,2
58,2
59,1
60,2
61,2
62,1
63,2
64,2
65,1
66,2
67,2
68,1
69,2
70,2
71,1
72,2
73,1
74,2
75,2
76,1
77,2
78,1
79,2
80,2
81,1
82,2
83,1
84,3
85,3
86,3
87,2
88,3
89,3
90,3
91,3
92,3
93,3
94,2
95,1
96,3
97,3
98,3
99,2
100,3
101,3
102,1
103,3
104,2
105,3
106,3
107,1
108,2
109,3
110,3
111,2
112,3
113,1
114,3
115,2
116,3
117,1
118,3
119,2
120,3
121,3
122,1
123,2
124,3
125,3
126,2
127,1
128,3
129,2
130,3
131,1
132,3
133,2
134,3
135,1
136,2
137,3
138,3
139,1
140,2
141,3
142,2
143,1
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,2
157,3
158,1
159,3
160,3
161,3
162,3
163,2
164,3
165,3
166,3
167,1
168,3
169,2
170,3
171,3
172,3
173,1
174,3
175,3
176,2
177,3
178,3
179,3
180,1
181,2
182,3
183,3
184,3
185,3
186,2
187,1
188,3
189,3
190,3
191,3
192,2
193,1
194,3
195,3
196,3
197,2
198,3
199,1
200,3
201,3
202,2
203,3
204,3
205,1
206,3
207,2
208,3
209,3
210,1
211,3
212,4
213,4
214,4
215,2
216,4
217,3
218,4
219,4
220,4
221,4
222,4
223,3
224,4
225,3
226,4
227,1
228,2
229,4
230,4
231,3
232,4
233,3
234,4
235,3
236,4
237,2
238,1
239,4
240,3
241,4
242,3
243,4
244,2
245,4
246,3
247,3
248,1
249,4
250,4
251,3
252,2
253,4
254,3
255,3
256,4
257,1
258,4
259,3
260,3
261,2
262,4
263,1
264,4
265,3
266,3
267,4
268,2
269,3
270,4
271,3
272,1
273,4
274,3
275,2
276,4
277,3
278,3
279,4
280,1
281,2
282,4
283,3
284,3
285,4
286,1
287,2
288,4
289,4
290,4
291,3
292,4
293,4
294,4
295,3
296,4
297,4
298,4
299,4
300,4
301,4
302,3
303,4
304,4
305,2
306,1
307,3
308,4
309,4
310,4
311,3
312,4
313,4
314,4
315,3
316,4
317,2
318,1
319,4
320,3
321,4
322,4
323,4
324,4
325,3
326,3
327,4
328,2
329,1
330,4
331,4
332,4
333,3
334,3
335,4
336,4
337,2
338,4
339,1
340,3
341,4
342,3
343,4
344,4
345,2
346,4
347,3
348,4
349,3
350,1
351,4
352,4
353,3
354,2
355,4
356,4
357,3
358,4
359,7
360,3
361,4
362,4
363,2
364,3
365,4
366,3
367,4
368,7
369,4
370,4
371,4
372,2
373,4
374,4
375,3
376,4
377,4
378,4
379,4
380,3
381,4
382,4
383,4
384,4
385,4
386,4
387,4
388,7
389,4
390,4
391,3
392,3
393,2
394,4
395,4
396,4
397,4
398,4
399,4
400,4
401,3
402,7
403,3
404,4
405,4
406,4
407,2
408,4
409,4
410,4
411,3
412,4
413,4
414,3
415,4
416,7
417,4
418,2
419,4
420,4
421,3
422,4
423,4
424,3
425,4
426,4
427,4
428,2
429,7
430,4
431,3
432,4
433,4
434,3
435,4
436,4
437,3
438,2
439,4
440,4
441,7
442,4
443,4
444,3
445,4
446,3
447,4
448,7
449,4
450,4
451,4
452,7
453,3
454,4
455,3
456,4
457,4
458,4
459,7
460,4
461,4
462,4
463,4
464,4
465,7
466,4
467,3
468,4
469,4
470,3
471,4
472,4
473,4
474,4
475,4
476,4
477,4
478,4
479,4
480,7
481,4
482,4
483,4
484,3
485,4
486,3
487,4
488,7
489,4
490,4
491,4
492,4
493,4
494,4
495,3
496,4
497,7
498,4
499,3
500,4
501,4
502,4
503,7
504,4
505,4
506,4
507,3
508,4
509,4
510,7
511,3
512,4
513,4
514,4
515,4
516,4
517,7
518,4
519,3
520,4
521,4
522,4
523,3
524,7
525,4
526,4
527,4
528,3
529,4
530,4
531,7
532,4
533,4
534,4
535,3
536,7
537,4
538,4
539,3
540,4
541,4
542,4
543,7
544,4
545,4
546,8
547,4
548,7
549,3
550,4
551,4
552,4
553,4
554,4
555,5
556,5
557,8
558,5
559,7
560,5
561,5
562,5
563,4
564,4
565,5
566,3
567,4
568,5
569,7
570,4
571,5
572,5
573,4
574,5
575,5
576,4
577,5
578,4
579,8
580,5
581,4
582,4
583,3
584,7
585,5
586,4
587,5
588,7
589,4
590,5
591,5
592,4
593,4
594,4
595,4
596,5
597,8
598,3
599,5
600,4
601,7
