#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,2
36,2
37,2
38,1
39,2
40,2
41,2
42,2
43,2
44,1
45,2
46,2
47,2
48,1
49,2
50,2
51,2
52,1
53,2
54,2
55,1
56,2
57,2
58,1
59,2
60,2
61,1
62,2
63,2
64,1
65,2
66,2
67,1
68,2
69,1
70,2
71,2
72,1
73,2
74,2
75,1
76,2
77,1
78,2
79,2
80,1
81,3
82,3
83,3
84,3
85,2
86,3
87,3
88,3
89,1
90,3
91,3
92,2
93,3
94,3
95,3
96,1
97,3
98,2
99,3
100,3
101,2
102,3
103,1
104,3
105,2
106,3
107,3
108,1
109,2
110,3
111,3
112,1
113,2
114,3
115,3
116,2
117,3
118,1
119,3
120,2
121,3
122,1
123,3
124,2
125,3
126,1
127,2
128,3
129,3
130,2
131,1
132,3
133,2
134,3
135,1
136,3
137,2
138,4
139,4
140,4
141,1
142,4
143,4
144,3
145,4
146,4
147,4
148,2
149,4
150,4
151,3
152,4
153,1
154,4
155,2
156,4
157,3
158,4
159,4
160,3
161,4
162,1
163,2
164,4
165,4
166,3
167,4
168,2
169,1
170,4
171,3
172,4
173,2
174,4
175,3
176,1
177,4
178,3
179,4
180,2
181,4
182,1
183,3
184,4
185,2
186,4
187,3
188,1
189,4
190,2
191,3
192,4
193,4
194,1
195,3
196,2
197,4
198,3
199,4
200,2
201,1
202,4
203,3
204,5
205,5
206,5
207,5
208,5
209,2
210,4
211,5
212,5
213,1
214,5
215,3
216,5
217,5
218,4
219,5
220,5
221,2
222,5
223,3
224,4
225,5
226,1
227,5
228,4
229,5
230,2
231,3
232,5
233,5
234,4
235,1
236,5
237,3
238,5
239,2
240,4
241,5
242,5
243,1
244,3
245,4
246,2
247,5
248,4
249,5
250,3
251,5
252,1
253,4
254,2
255,5
256,3
257,5
258,4
259,1
260,5
261,2
262,3
263,4
264,5
265,5
266,4
267,2
268,3
269,1
270,5
271,4
272,5
273,3
274,2
275,16
276,5
277,4
278,6
279,6
280,6
281,6
282,6
283,5
284,6
285,3
286,6
287,6
288,2
289,6
290,4
291,6
292,5
293,16
294,6
295,6
296,3
297,6
298,5
299,4
300,6
301,2
302,6
303,6
304,5
305,16
306,4
307,3
308,6
309,6
310,5
311,2
312,6
313,4
314,6
315,5
316,3
317,16
318,6
319,6
320,5
321,4
322,2
323,6
324,3
325,5
326,6
327,16
328,4
329,6
330,2
331,5
332,3
333,6
334,4
335,6
336,5
337,16
338,6
339,2
340,3
341,4
342,5
343,6
344,6
345,5
346,16
347,3
348,4
349,2
350,6
351,5
352,6
353,4
354,3
355,6
356,16
357,17
358,5
359,7
360,7
361,7
362,7
363,7
364,7
365,6
366,7
367,4
368,7
369,7
370,3
371,5
372,7
373,6
374,7
375,17
376,7
377,16
378,7
379,4
380,6
381,5
382,7
383,7
384,3
385,7
386,6
387,7
388,5
389,17
390,4
391,16
392,7
393,6
394,7
395,3
396,5
397,7
398,6
399,4
400,7
401,17
402,7
403,6
404,16
405,5
406,3
407,7
408,4
409,7
410,6
411,5
412,17
413,7
414,3
415,6
416,16
417,7
418,4
419,5
420,7
421,6
422,17
423,7
424,3
425,4
426,5
427,6
428,7
429,16
430,7
431,6
432,4
433,17
434,5
435,3
436,7
437,6
438,7
439,16
440,5
441,4
442,7
443,18
444,17
445,6
446,8
447,8
448,8
449,8
450,8
451,8
452,7
453,8
454,5
455,8
456,8
457,6
458,8
459,4
460,16
461,7
462,8
463,8
464,18
465,8
466,17
467,5
468,7
469,8
470,6
471,8
472,4
473,8
474,7
475,8
476,16
477,6
478,5
479,18
480,8
481,7
482,17
483,8
484,4
485,8
486,6
487,7
488,5
489,8
490,18
491,16
492,8
493,7
494,6
495,17
496,8
497,4
498,5
499,8
500,7
501,6
502,8
503,18
504,7
505,16
506,4
507,8
508,5
509,17
510,6
511,8
512,7
513,8
514,18
515,5
516,4
517,6
518,7
519,8
520,16
521,17
522,8
523,7
524,6
525,5
526,18
527,8
528,4
529,7
530,8
531,17
532,16
533,6
534,5
535,8
536,9
537,7
538,9
539,9
540,19
541,18
542,9
543,9
544,9
545,8
546,9
547,9
548,6
549,9
550,9
551,7
552,5
553,8
554,9
555,17
556,9
557,16
558,9
559,19
560,18
561,8
562,9
563,6
564,7
565,9
566,9
567,5
568,8
569,9
570,7
571,17
572,6
573,9
574,19
575,8
576,16
577,9
578,18
579,9
580,5
581,7
582,8
583,9
584,6
585,9
586,19
587,8
588,17
589,7
590,9
591,18
592,5
593,16
594,6
595,9
596,8
597,7
598,9
599,19
600,8
601,9
