#Idx,EeV,g,rIn,v,J,ECB,Group
1,-9.753689e+00,6.000000e+00,1.993478e+00,0,0,9.753689e+00,1
2,-9.753196e+00,9.000000e+00,1.993490e+00,0,1,9.753197e+00,1
3,-9.752209e+00,3.000000e+01,1.993512e+00,0,2,9.752217e+00,1
4,-9.750729e+00,2.100000e+01,1.993546e+00,0,3,9.750751e+00,1
5,-9.748756e+00,5.400000e+01,1.993592e+00,0,4,9.748802e+00,1
6,-9.746289e+00,3.300000e+01,1.993649e+00,0,5,9.746373e+00,1
7,-9.743330e+00,7.800000e+01,1.993717e+00,0,6,9.743467e+00,1
8,-9.739877e+00,4.500000e+01,1.993796e+00,0,7,9.740087e+00,1
9,-9.735932e+00,1.020000e+02,1.993887e+00,0,8,9.736235e+00,1
10,-9.731494e+00,5.700000e+01,1.993989e+00,0,9,9.731914e+00,1
11,-9.726563e+00,1.260000e+02,1.994103e+00,0,10,9.727126e+00,1
12,-9.721140e+00,6.900000e+01,1.994228e+00,0,11,9.721875e+00,1
13,-9.715224e+00,1.500000e+02,1.994364e+00,0,12,9.716162e+00,1
14,-9.708817e+00,8.100000e+01,1.994512e+00,0,13,9.709991e+00,1
15,-9.701918e+00,1.740000e+02,1.994671e+00,0,14,9.703363e+00,1
16,-9.694527e+00,9.300000e+01,1.994842e+00,0,15,9.696281e+00,1
17,-9.686645e+00,1.980000e+02,1.995023e+00,0,16,9.688747e+00,1
18,-9.678272e+00,1.050000e+02,1.995217e+00,0,17,9.680764e+00,1
19,-9.669408e+00,2.220000e+02,1.995421e+00,0,18,9.672334e+00,1
20,-9.660054e+00,1.170000e+02,1.995638e+00,0,19,9.663459e+00,1
21,-9.650210e+00,2.460000e+02,1.995865e+00,0,20,9.654141e+00,1
22,-9.639876e+00,1.290000e+02,1.996104e+00,0,21,9.644383e+00,1
23,-9.629052e+00,2.700000e+02,1.996355e+00,0,22,9.634186e+00,1
24,-9.617739e+00,1.410000e+02,1.996617e+00,0,23,9.623554e+00,1
25,-9.605938e+00,2.940000e+02,1.996890e+00,0,24,9.612488e+00,1
26,-9.593649e+00,1.530000e+02,1.997175e+00,0,25,9.600990e+00,1
27,-9.580871e+00,3.180000e+02,1.997471e+00,0,26,9.589062e+00,1
28,-9.567607e+00,1.650000e+02,1.997779e+00,0,27,9.576706e+00,1
29,-9.553855e+00,3.420000e+02,1.998098e+00,0,28,9.563925e+00,1
30,-9.539617e+00,1.770000e+02,1.998429e+00,0,29,9.550721e+00,1
31,-9.524894e+00,3.660000e+02,1.998772e+00,0,30,9.537095e+00,1
32,-9.509684e+00,1.890000e+02,1.999126e+00,0,31,9.523050e+00,2
33,-9.493990e+00,3.900000e+02,1.999491e+00,0,32,9.508587e+00,2
34,-9.477812e+00,2.010000e+02,1.999868e+00,0,33,9.493709e+00,2
35,-9.464817e+00,6.000000e+00,1.939678e+00,1,0,9.464817e+00,2
36,-9.464327e+00,9.000000e+00,1.939688e+00,1,1,9.464329e+00,2
37,-9.463349e+00,3.000000e+01,1.939710e+00,1,2,9.463357e+00,2
38,-9.461882e+00,2.100000e+01,1.939744e+00,1,3,9.461904e+00,2
39,-9.461149e+00,4.140000e+02,2.000257e+00,0,34,9.478417e+00,2
40,-9.459926e+00,5.400000e+01,1.939788e+00,1,4,9.459972e+00,2
41,-9.457481e+00,3.300000e+01,1.939843e+00,1,5,9.457565e+00,2
42,-9.454548e+00,7.800000e+01,1.939909e+00,1,6,9.454685e+00,2
43,-9.451125e+00,4.500000e+01,1.939986e+00,1,7,9.451335e+00,2
44,-9.447214e+00,1.020000e+02,1.940074e+00,1,8,9.447517e+00,2
45,-9.444004e+00,2.130000e+02,2.000657e+00,0,35,9.462715e+00,2
46,-9.442815e+00,5.700000e+01,1.940174e+00,1,9,9.443235e+00,2
47,-9.437927e+00,1.260000e+02,1.940284e+00,1,10,9.438491e+00,2
48,-9.432552e+00,6.900000e+01,1.940405e+00,1,11,9.433287e+00,2
49,-9.426688e+00,1.500000e+02,1.940538e+00,1,12,9.427626e+00,2
50,-9.426375e+00,4.380000e+02,2.001069e+00,0,36,9.446602e+00,2
51,-9.420337e+00,8.100000e+01,1.940681e+00,1,13,9.421510e+00,2
52,-9.413498e+00,1.740000e+02,1.940835e+00,1,14,9.414943e+00,2
53,-9.408265e+00,2.250000e+02,2.001492e+00,0,37,9.430083e+00,2
54,-9.406172e+00,9.300000e+01,1.941001e+00,1,15,9.407925e+00,2
55,-9.398359e+00,1.980000e+02,1.941178e+00,1,16,9.400461e+00,2
56,-9.390059e+00,1.050000e+02,1.941365e+00,1,17,9.392551e+00,2
57,-9.389674e+00,4.620000e+02,2.001928e+00,0,38,9.413158e+00,2
58,-9.381273e+00,2.220000e+02,1.941564e+00,1,18,9.384198e+00,2
59,-9.372000e+00,1.170000e+02,1.941774e+00,1,19,9.375405e+00,2
60,-9.370602e+00,2.370000e+02,2.002374e+00,0,39,9.395830e+00,2
61,-9.362242e+00,2.460000e+02,1.941995e+00,1,20,9.366173e+00,2
62,-9.351998e+00,1.290000e+02,1.942227e+00,1,21,9.356506e+00,2
63,-9.351049e+00,4.860000e+02,2.002833e+00,0,40,9.378100e+00,2
64,-9.341270e+00,2.700000e+02,1.942470e+00,1,22,9.346404e+00,2
65,-9.331017e+00,2.490000e+02,2.003303e+00,0,41,9.359971e+00,2
66,-9.330056e+00,1.410000e+02,1.942724e+00,1,23,9.335871e+00,2
67,-9.318359e+00,2.940000e+02,1.942990e+00,1,24,9.324908e+00,2
68,-9.310507e+00,5.100000e+02,2.003785e+00,0,42,9.341444e+00,2
69,-9.306177e+00,1.530000e+02,1.943266e+00,1,25,9.313518e+00,2
70,-9.293512e+00,3.180000e+02,1.943554e+00,1,26,9.301702e+00,2
71,-9.289518e+00,2.610000e+02,2.004278e+00,0,43,9.322522e+00,2
72,-9.280364e+00,1.650000e+02,1.943852e+00,1,27,9.289463e+00,2
73,-9.268053e+00,5.340000e+02,2.004783e+00,0,44,9.303206e+00,2
74,-9.266733e+00,3.420000e+02,1.944162e+00,1,28,9.276803e+00,2
75,-9.252620e+00,1.770000e+02,1.944484e+00,1,29,9.263723e+00,3
76,-9.246111e+00,2.730000e+02,2.005301e+00,0,45,9.283499e+00,3
77,-9.238025e+00,3.660000e+02,1.944816e+00,1,30,9.250227e+00,3
78,-9.223693e+00,5.580000e+02,2.005829e+00,0,46,9.263402e+00,3
79,-9.222950e+00,1.890000e+02,1.945160e+00,1,31,9.236315e+00,3
80,-9.207394e+00,3.900000e+02,1.945514e+00,1,32,9.221990e+00,3
