#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,2
36,2
37,2
38,2
39,1
40,2
41,2
42,2
43,2
44,2
45,1
46,2
47,2
48,2
49,2
50,1
51,2
52,2
53,1
54,2
55,2
56,2
57,1
58,2
59,2
60,1
61,2
62,2
63,1
64,2
65,1
66,2
67,2
68,1
69,2
70,2
71,1
72,2
73,1
74,2
75,2
76,1
77,2
78,1
79,2
80,2
81,1
82,2
83,2
84,2
85,2
86,1
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,1
97,2
98,2
99,2
100,2
101,2
102,1
103,2
104,2
105,2
106,2
107,2
108,1
109,2
110,2
111,2
112,2
113,1
114,2
115,2
116,2
117,2
118,1
119,2
120,2
121,2
122,1
123,2
124,2
125,2
126,2
127,1
128,2
129,2
130,2
131,1
132,2
133,2
134,2
135,1
136,2
137,2
138,2
139,1
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,1
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,1
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,1
169,2
170,2
171,2
172,2
173,2
174,2
175,1
176,2
177,2
178,2
179,2
180,2
181,2
182,1
183,2
184,2
185,2
186,2
187,2
188,2
189,1
190,2
191,2
192,2
193,2
194,1
195,2
196,2
197,2
198,2
199,2
200,1
201,2
202,2
203,2
204,2
205,2
206,1
207,2
208,2
209,2
210,3
211,3
212,3
213,3
214,3
215,2
216,2
217,3
218,1
219,3
220,2
221,3
222,3
223,3
224,2
225,3
226,2
227,3
228,3
229,2
230,2
231,1
232,3
233,3
234,2
235,3
236,2
237,3
238,2
239,3
240,1
241,2
242,2
243,3
244,3
245,2
246,2
247,3
248,2
249,1
250,3
251,2
252,3
253,2
254,2
255,3
256,2
257,3
258,1
259,2
260,2
261,3
262,2
263,3
264,2
265,1
266,3
267,2
268,2
269,3
270,2
271,3
272,2
273,1
274,2
275,3
276,2
277,2
278,3
279,2
280,1
281,3
282,2
283,2
284,2
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,3
293,2
294,3
295,1
296,2
297,3
298,2
299,3
300,3
301,3
302,3
303,3
304,2
305,3
306,3
307,3
308,2
309,2
310,1
311,3
312,2
313,3
314,3
315,3
316,2
317,3
318,3
319,2
320,2
321,3
322,1
323,3
324,3
325,3
326,2
327,2
328,3
329,2
330,3
331,3
332,1
333,2
334,3
335,2
336,3
337,3
338,2
339,3
340,3
341,2
342,1
343,2
344,3
345,3
346,3
347,2
348,2
349,3
350,2
351,3
352,5
353,3
354,2
355,3
356,2
357,3
358,2
359,3
360,2
361,3
362,5
363,3
364,2
365,2
366,3
367,2
368,3
369,3
370,3
371,3
372,3
373,3
374,5
375,3
376,3
377,3
378,3
379,3
380,2
381,2
382,3
383,2
384,3
385,3
386,3
387,3
388,3
389,3
390,3
391,3
392,2
393,5
394,2
395,3
396,2
397,3
398,3
399,3
400,3
401,3
402,2
403,3
404,3
405,3
406,2
407,5
408,3
409,2
410,3
411,3
412,2
413,3
414,3
415,3
416,2
417,3
418,2
419,5
420,3
421,3
422,3
423,2
424,3
425,2
426,3
427,3
428,3
429,2
430,3
431,2
432,5
433,3
434,3
435,3
436,2
437,3
438,3
439,2
440,5
441,3
442,3
443,5
444,3
445,3
446,2
447,2
448,3
449,3
450,3
451,5
452,3
453,5
454,2
455,2
456,3
457,3
458,3
459,3
460,3
461,3
462,3
463,3
464,3
465,3
466,3
467,3
468,5
469,3
470,3
471,2
472,3
473,2
474,3
475,3
476,3
477,5
478,3
479,3
480,3
481,3
482,3
483,3
484,3
485,5
486,2
487,3
488,2
489,3
490,3
491,3
492,5
493,3
494,3
495,3
496,3
497,3
498,2
499,3
500,5
501,2
502,3
503,3
504,3
505,3
506,3
507,5
508,3
509,3
510,2
511,3
512,2
513,3
514,5
515,3
516,3
517,3
518,3
519,2
520,3
521,3
522,5
523,3
524,3
525,2
526,3
527,5
528,3
529,3
530,2
531,3
532,3
533,3
534,5
535,3
536,5
537,3
538,3
539,5
540,3
541,2
542,3
543,3
544,3
545,3
546,5
547,3
548,5
549,2
550,5
551,3
552,3
553,3
554,3
555,4
556,4
557,4
558,4
559,4
560,4
561,4
562,3
563,4
564,3
565,4
566,5
567,4
568,3
569,3
570,5
571,4
572,2
573,3
574,4
575,5
576,4
577,3
578,4
579,3
580,4
581,3
582,4
583,3
584,5
585,3
586,3
587,2
588,4
589,4
590,5
591,5
592,3
593,4
594,3
595,3
596,4
597,3
598,3
599,4
600,5
601,2
