#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,2
36,2
37,1
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,1
46,2
47,2
48,2
49,1
50,2
51,2
52,2
53,1
54,2
55,2
56,1
57,2
58,2
59,1
60,2
61,2
62,1
63,2
64,2
65,1
66,2
67,2
68,1
69,2
70,2
71,1
72,2
73,1
74,2
75,2
76,1
77,2
78,1
79,2
80,2
81,1
82,2
83,1
84,3
85,3
86,3
87,2
88,3
89,3
90,3
91,3
92,3
93,3
94,2
95,1
96,3
97,3
98,3
99,2
100,3
101,3
102,1
103,3
104,2
105,3
106,3
107,1
108,2
109,3
110,3
111,2
112,3
113,1
114,3
115,2
116,3
117,1
118,3
119,2
120,3
121,3
122,1
123,2
124,3
125,3
126,2
127,1
128,3
129,2
130,3
131,1
132,3
133,2
134,3
135,1
136,2
137,3
138,3
139,1
140,2
141,3
142,2
143,1
144,4
145,4
146,4
147,3
148,4
149,4
150,4
151,4
152,4
153,4
154,3
155,4
156,2
157,4
158,14
159,4
160,3
161,4
162,4
163,2
164,4
165,3
166,4
167,14
168,4
169,2
170,3
171,4
172,4
173,14
174,4
175,3
176,2
177,4
178,3
179,4
180,14
181,2
182,4
183,3
184,4
185,4
186,2
187,14
188,3
189,4
190,4
191,3
192,2
193,14
194,4
195,3
196,4
197,2
198,4
199,14
200,3
201,4
202,2
203,3
204,4
205,14
206,4
207,2
208,3
209,4
210,14
211,3
212,5
213,5
214,5
215,15
216,5
217,4
218,5
219,5
220,5
221,5
222,5
223,4
224,5
225,3
226,5
227,14
228,15
229,5
230,5
231,4
232,5
233,3
234,5
235,4
236,5
237,15
238,14
239,5
240,3
241,5
242,4
243,5
244,15
245,5
246,4
247,3
248,14
249,5
250,5
251,4
252,15
253,5
254,3
255,4
256,5
257,14
258,5
259,3
260,4
261,15
262,5
263,14
264,5
265,4
266,3
267,5
268,15
269,4
270,5
271,3
272,14
273,5
274,4
275,15
276,5
277,3
278,4
279,5
280,14
281,15
282,5
283,3
284,4
285,5
286,14
287,15
288,6
289,6
290,6
291,4
292,6
293,5
294,6
295,16
296,6
297,6
298,6
299,6
300,5
301,6
302,4
303,6
304,6
305,15
306,14
307,16
308,6
309,5
310,6
311,4
312,6
313,5
314,6
315,16
316,6
317,15
318,14
319,6
320,4
321,5
322,6
323,6
324,5
325,16
326,4
327,6
328,15
329,14
330,6
331,5
332,6
333,16
334,4
335,6
336,5
337,15
338,6
339,14
340,4
341,5
342,16
343,6
344,6
345,15
346,5
347,4
348,6
349,16
350,14
351,5
352,6
353,4
354,15
355,6
356,5
357,16
358,6
359,14
360,4
361,6
362,5
363,15
364,16
365,6
366,4
367,5
368,14
369,6
370,7
371,7
372,15
373,7
374,7
375,16
376,5
377,7
378,6
379,7
380,17
381,7
382,7
383,7
384,7
385,6
386,7
387,5
388,14
389,7
390,7
391,16
392,17
393,15
394,6
395,7
396,7
397,5
398,6
399,7
400,7
401,17
402,14
403,16
404,7
405,6
406,5
407,15
408,7
409,7
410,6
411,17
412,7
413,5
414,16
415,7
416,14
417,6
418,15
419,7
420,5
421,17
422,7
423,6
424,16
425,7
426,5
427,6
428,15
429,14
430,7
431,17
432,7
433,6
434,16
435,5
436,7
437,17
438,15
439,7
440,6
441,14
442,5
443,7
444,16
445,6
446,17
447,7
448,15
449,5
450,7
451,6
452,14
453,16
454,7
455,17
456,6
457,5
458,7
459,15
460,8
461,8
462,8
463,8
464,8
465,14
466,6
467,16
468,7
469,8
470,17
471,8
472,18
473,8
474,8
475,8
476,7
477,8
478,6
479,8
480,15
481,8
482,18
483,7
484,17
485,8
486,16
487,8
488,14
489,6
490,8
491,7
492,8
493,18
494,8
495,17
496,7
497,15
498,6
499,16
500,8
501,8
502,7
503,14
504,18
505,8
506,6
507,17
508,8
509,7
510,15
511,16
512,8
513,6
514,18
515,8
516,7
517,14
518,8
519,17
520,7
521,6
522,8
523,16
524,15
525,18
526,8
527,7
528,17
529,8
530,6
531,14
532,18
533,8
534,7
535,16
536,15
537,8
538,6
539,17
540,7
541,8
542,18
543,14
544,6
545,8
546,16
547,7
548,15
549,17
550,8
551,18
552,7
553,6
554,8
555,9
556,9
557,16
558,9
559,14
560,9
561,9
562,9
563,8
564,7
565,9
566,17
567,18
568,9
569,15
570,19
571,9
572,9
573,8
574,9
575,9
576,7
577,9
578,8
579,16
580,9
581,19
582,18
583,17
584,14
585,9
586,7
587,9
588,15
589,8
590,9
591,9
592,19
593,8
594,18
595,7
596,9
597,16
598,17
599,9
600,8
601,14
