#Idx,EeV,g,rIn,v,J,ECB,Group
1,-6.499999e+00,1.000000e+00,2.090630e+00,0,0,6.499999e+00,1
2,-6.499580e+00,3.000000e+00,2.090643e+00,0,1,6.499603e+00,1
3,-6.498741e+00,5.000000e+00,2.090669e+00,0,2,6.498817e+00,1
4,-6.497483e+00,7.000000e+00,2.090708e+00,0,3,6.497645e+00,1
5,-6.495805e+00,9.000000e+00,2.090760e+00,0,4,6.496089e+00,1
6,-6.493708e+00,1.100000e+01,2.090826e+00,0,5,6.494151e+00,1
7,-6.491192e+00,1.300000e+01,2.090904e+00,0,6,6.491834e+00,1
8,-6.488257e+00,1.500000e+01,2.090995e+00,0,7,6.489140e+00,1
9,-6.484903e+00,1.700000e+01,2.091100e+00,0,8,6.486071e+00,1
10,-6.481130e+00,1.900000e+01,2.091217e+00,0,9,6.482629e+00,1
11,-6.476938e+00,2.100000e+01,2.091348e+00,0,10,6.478815e+00,1
12,-6.472328e+00,2.300000e+01,2.091491e+00,0,11,6.474632e+00,1
13,-6.467299e+00,2.500000e+01,2.091648e+00,0,12,6.470081e+00,1
14,-6.461853e+00,2.700000e+01,2.091818e+00,0,13,6.465163e+00,1
15,-6.455988e+00,2.900000e+01,2.092001e+00,0,14,6.459881e+00,1
16,-6.449705e+00,3.100000e+01,2.092197e+00,0,15,6.454236e+00,1
17,-6.443005e+00,3.300000e+01,2.092407e+00,0,16,6.448230e+00,1
18,-6.435888e+00,3.500000e+01,2.092629e+00,0,17,6.441865e+00,1
19,-6.428354e+00,3.700000e+01,2.092865e+00,0,18,6.435142e+00,1
20,-6.420403e+00,3.900000e+01,2.093114e+00,0,19,6.428062e+00,1
21,-6.412036e+00,4.100000e+01,2.093376e+00,0,20,6.420628e+00,1
22,-6.403253e+00,4.300000e+01,2.093651e+00,0,21,6.412842e+00,1
23,-6.394054e+00,4.500000e+01,2.093940e+00,0,22,6.404704e+00,1
24,-6.384440e+00,4.700000e+01,2.094242e+00,0,23,6.396217e+00,1
25,-6.374411e+00,4.900000e+01,2.094557e+00,0,24,6.387382e+00,1
26,-6.363967e+00,5.100000e+01,2.094886e+00,0,25,6.378200e+00,1
27,-6.353110e+00,5.300000e+01,2.095228e+00,0,26,6.368675e+00,1
28,-6.341838e+00,5.500000e+01,2.095583e+00,0,27,6.358806e+00,1
29,-6.330153e+00,5.700000e+01,2.095952e+00,0,28,6.348596e+00,1
30,-6.318056e+00,5.900000e+01,2.096334e+00,0,29,6.338047e+00,1
31,-6.305545e+00,6.100000e+01,2.096730e+00,0,30,6.327160e+00,1
32,-6.292624e+00,6.300000e+01,2.097139e+00,0,31,6.315936e+00,1
33,-6.279290e+00,6.500000e+01,2.097562e+00,0,32,6.304378e+00,1
34,-6.268337e+00,1.000000e+00,2.034840e+00,1,0,6.268337e+00,2
35,-6.267922e+00,3.000000e+00,2.034853e+00,1,1,6.267946e+00,2
36,-6.267094e+00,5.000000e+00,2.034878e+00,1,2,6.267170e+00,2
37,-6.265851e+00,7.000000e+00,2.034915e+00,1,3,6.266013e+00,2
38,-6.265546e+00,6.700000e+01,2.097998e+00,0,33,6.292487e+00,1
39,-6.264194e+00,9.000000e+00,2.034965e+00,1,4,6.264478e+00,2
40,-6.262123e+00,1.100000e+01,2.035028e+00,1,5,6.262566e+00,2
41,-6.259638e+00,1.300000e+01,2.035103e+00,1,6,6.260280e+00,2
42,-6.256739e+00,1.500000e+01,2.035190e+00,1,7,6.257622e+00,2
43,-6.253426e+00,1.700000e+01,2.035290e+00,1,8,6.254594e+00,2
44,-6.251392e+00,6.900000e+01,2.098448e+00,0,34,6.280265e+00,1
45,-6.249699e+00,1.900000e+01,2.035403e+00,1,9,6.251198e+00,2
46,-6.245559e+00,2.100000e+01,2.035528e+00,1,10,6.247436e+00,2
47,-6.241005e+00,2.300000e+01,2.035666e+00,1,11,6.243309e+00,2
48,-6.236828e+00,7.100000e+01,2.098911e+00,0,35,6.267713e+00,1
49,-6.236038e+00,2.500000e+01,2.035816e+00,1,12,6.238820e+00,2
50,-6.230659e+00,2.700000e+01,2.035979e+00,1,13,6.233969e+00,2
51,-6.224866e+00,2.900000e+01,2.036155e+00,1,14,6.228759e+00,2
52,-6.221854e+00,7.300000e+01,2.099388e+00,0,36,6.254834e+00,1
53,-6.218661e+00,3.100000e+01,2.036343e+00,1,15,6.223191e+00,2
54,-6.212043e+00,3.300000e+01,2.036543e+00,1,16,6.217268e+00,2
55,-6.206473e+00,7.500000e+01,2.099879e+00,0,37,6.241628e+00,1
56,-6.205014e+00,3.500000e+01,2.036757e+00,1,17,6.210990e+00,2
57,-6.197572e+00,3.700000e+01,2.036983e+00,1,18,6.204360e+00,2
58,-6.190683e+00,7.700000e+01,2.100384e+00,0,38,6.228098e+00,1
59,-6.189719e+00,3.900000e+01,2.037221e+00,1,19,6.197378e+00,2
60,-6.181455e+00,4.100000e+01,2.037472e+00,1,20,6.190047e+00,2
61,-6.174485e+00,7.900000e+01,2.100902e+00,0,39,6.214245e+00,1
62,-6.172780e+00,4.300000e+01,2.037736e+00,1,21,6.182369e+00,2
63,-6.163694e+00,4.500000e+01,2.038013e+00,1,22,6.174344e+00,2
64,-6.157882e+00,8.100000e+01,2.101434e+00,0,40,6.200071e+00,1
65,-6.154198e+00,4.700000e+01,2.038302e+00,1,23,6.165975e+00,2
66,-6.144293e+00,4.900000e+01,2.038604e+00,1,24,6.157264e+00,2
67,-6.140871e+00,8.300000e+01,2.101980e+00,0,41,6.185578e+00,1
68,-6.133978e+00,5.100000e+01,2.038919e+00,1,25,6.148211e+00,2
69,-6.123456e+00,8.500000e+01,2.102540e+00,0,42,6.170767e+00,1
70,-6.123254e+00,5.300000e+01,2.039247e+00,1,26,6.138819e+00,2
