#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,2
36,2
37,2
38,1
39,2
40,2
41,2
42,2
43,2
44,1
45,2
46,2
47,2
48,1
49,2
50,2
51,2
52,1
53,2
54,2
55,1
56,2
57,2
58,1
59,2
60,2
61,1
62,2
63,2
64,1
65,2
66,2
67,1
68,2
69,1
70,2
71,2
72,1
73,2
74,2
75,1
76,2
77,1
78,2
79,2
80,1
81,3
82,3
83,3
84,3
85,2
86,3
87,3
88,3
89,1
90,3
91,3
92,2
93,3
94,3
95,3
96,1
97,3
98,2
99,3
100,3
101,2
102,3
103,1
104,3
105,2
106,3
107,3
108,1
109,2
110,3
111,3
112,1
113,2
114,3
115,3
116,2
117,3
118,1
119,3
120,2
121,3
122,1
123,3
124,2
125,3
126,1
127,2
128,3
129,3
130,2
131,1
132,3
133,2
134,3
135,1
136,3
137,2
138,4
139,4
140,4
141,12
142,4
143,4
144,3
145,4
146,4
147,4
148,2
149,4
150,4
151,3
152,4
153,12
154,4
155,2
156,4
157,3
158,4
159,4
160,3
161,4
162,12
163,2
164,4
165,4
166,3
167,4
168,2
169,12
170,4
171,3
172,4
173,2
174,4
175,3
176,12
177,4
178,3
179,4
180,2
181,4
182,12
183,3
184,4
185,2
186,4
187,3
188,12
189,4
190,2
191,3
192,4
193,4
194,12
195,3
196,2
197,4
198,3
199,4
200,2
201,12
202,4
203,3
204,5
205,5
206,5
207,5
208,5
209,13
210,4
211,5
212,5
213,12
214,5
215,3
216,5
217,5
218,4
219,5
220,5
221,13
222,5
223,3
224,4
225,5
226,12
227,5
228,4
229,5
230,13
231,3
232,5
233,5
234,4
235,12
236,5
237,3
238,5
239,13
240,4
241,5
242,5
243,12
244,3
245,4
246,13
247,5
248,4
249,5
250,3
251,5
252,12
253,4
254,13
255,5
256,3
257,5
258,4
259,12
260,5
261,13
262,3
263,4
264,5
265,5
266,4
267,13
268,3
269,12
270,5
271,4
272,5
273,3
274,13
275,12
276,5
277,4
278,6
279,6
280,6
281,6
282,6
283,5
284,6
285,14
286,6
287,6
288,13
289,6
290,4
291,6
292,5
293,12
294,6
295,6
296,14
297,6
298,5
299,4
300,6
301,13
302,6
303,6
304,5
305,12
306,4
307,14
308,6
309,6
310,5
311,13
312,6
313,4
314,6
315,5
316,14
317,12
318,6
319,6
320,5
321,4
322,13
323,6
324,14
325,5
326,6
327,12
328,4
329,6
330,13
331,5
332,14
333,6
334,4
335,6
336,5
337,12
338,6
339,13
340,14
341,4
342,5
343,6
344,6
345,5
346,12
347,14
348,4
349,13
350,6
351,5
352,6
353,4
354,14
355,6
356,12
357,13
358,5
359,7
360,7
361,7
362,7
363,7
364,7
365,6
366,7
367,15
368,7
369,7
370,14
371,5
372,7
373,6
374,7
375,13
376,7
377,12
378,7
379,15
380,6
381,5
382,7
383,7
384,14
385,7
386,6
387,7
388,5
389,13
390,15
391,12
392,7
393,6
394,7
395,14
396,5
397,7
398,6
399,15
400,7
401,13
402,7
403,6
404,12
405,5
406,14
407,7
408,15
409,7
410,6
411,5
412,13
413,7
414,14
415,6
416,12
417,7
418,15
419,5
420,7
421,6
422,13
423,7
424,14
425,15
426,5
427,6
428,7
429,12
430,7
431,6
432,15
433,13
434,5
435,14
436,7
437,6
438,7
439,12
440,5
441,15
442,7
443,14
444,13
445,6
446,8
447,8
448,8
449,8
450,8
451,8
452,7
453,8
454,16
455,8
456,8
457,6
458,8
459,15
460,12
461,7
462,8
463,8
464,14
465,8
466,13
467,16
468,7
469,8
470,6
471,8
472,15
473,8
474,7
475,8
476,12
477,6
478,16
479,14
480,8
481,7
482,13
483,8
484,15
485,8
486,6
487,7
488,16
489,8
490,14
491,12
492,8
493,7
494,6
495,13
496,8
497,15
498,16
499,8
500,7
501,6
502,8
503,14
504,7
505,12
506,15
507,8
508,16
509,13
510,6
511,8
512,7
513,8
514,14
515,16
516,15
517,6
518,7
519,8
520,12
521,13
522,8
523,7
524,6
525,16
526,14
527,8
528,15
529,7
530,8
531,13
532,12
533,6
534,16
535,8
536,9
537,7
538,9
539,9
540,15
541,14
542,9
543,9
544,9
545,8
546,9
547,9
548,17
549,9
550,9
551,7
552,16
553,8
554,9
555,13
556,9
557,12
558,9
559,15
560,14
561,8
562,9
563,17
564,7
565,9
566,9
567,16
568,8
569,9
570,7
571,13
572,17
573,9
574,15
575,8
576,12
577,9
578,14
579,9
580,16
581,7
582,8
583,9
584,17
585,9
586,15
587,8
588,13
589,7
590,9
591,14
592,16
593,12
594,17
595,9
596,8
597,7
598,9
599,15
600,8
601,9
