#Idx,EeV,g,rIn,v,J,ECB,Group
1,-4.966646e+00,5.000000e-01,2.204539e+00,0,0,4.966646e+00,1
2,-4.966294e+00,1.500000e+00,2.204554e+00,0,1,4.966295e+00,1
3,-4.965590e+00,2.500000e+00,2.204583e+00,0,2,4.965594e+00,1
4,-4.964535e+00,3.500000e+00,2.204627e+00,0,3,4.964544e+00,1
5,-4.963128e+00,4.500000e+00,2.204686e+00,0,4,4.963147e+00,1
6,-4.961369e+00,5.500000e+00,2.204760e+00,0,5,4.961404e+00,1
7,-4.959258e+00,6.500000e+00,2.204848e+00,0,6,4.959317e+00,1
8,-4.956796e+00,7.500000e+00,2.204951e+00,0,7,4.956886e+00,1
9,-4.953983e+00,8.500000e+00,2.205069e+00,0,8,4.954114e+00,1
10,-4.950818e+00,9.500000e+00,2.205201e+00,0,9,4.951001e+00,1
11,-4.947302e+00,1.050000e+01,2.205348e+00,0,10,4.947549e+00,1
12,-4.943435e+00,1.150000e+01,2.205510e+00,0,11,4.943759e+00,1
13,-4.939217e+00,1.250000e+01,2.205687e+00,0,12,4.939634e+00,1
14,-4.934648e+00,1.350000e+01,2.205878e+00,0,13,4.935173e+00,1
15,-4.929729e+00,1.450000e+01,2.206084e+00,0,14,4.930380e+00,1
16,-4.924460e+00,1.550000e+01,2.206305e+00,0,15,4.925254e+00,1
17,-4.918840e+00,1.650000e+01,2.206541e+00,0,16,4.919799e+00,1
18,-4.912871e+00,1.750000e+01,2.206791e+00,0,17,4.914014e+00,1
19,-4.906552e+00,1.850000e+01,2.207057e+00,0,18,4.907903e+00,1
20,-4.899883e+00,1.950000e+01,2.207337e+00,0,19,4.901465e+00,1
21,-4.892866e+00,2.050000e+01,2.207632e+00,0,20,4.894704e+00,1
22,-4.885500e+00,2.150000e+01,2.207943e+00,0,21,4.887620e+00,1
23,-4.877785e+00,2.250000e+01,2.208267e+00,0,22,4.880215e+00,1
24,-4.869722e+00,2.350000e+01,2.208607e+00,0,23,4.872491e+00,1
25,-4.861311e+00,2.450000e+01,2.208962e+00,0,24,4.864449e+00,1
26,-4.852553e+00,2.550000e+01,2.209332e+00,0,25,4.856091e+00,1
27,-4.843448e+00,2.650000e+01,2.209717e+00,0,26,4.847418e+00,1
28,-4.833995e+00,2.750000e+01,2.210117e+00,0,27,4.838433e+00,1
29,-4.824197e+00,2.850000e+01,2.210532e+00,0,28,4.829136e+00,1
30,-4.814052e+00,2.950000e+01,2.210962e+00,0,29,4.819530e+00,1
31,-4.803562e+00,3.050000e+01,2.211407e+00,0,30,4.809617e+00,1
32,-4.792727e+00,3.150000e+01,2.211867e+00,0,31,4.799397e+00,1
33,-4.781547e+00,3.250000e+01,2.212343e+00,0,32,4.788873e+00,1
34,-4.777809e+00,5.000000e-01,2.144117e+00,1,0,4.777809e+00,2
35,-4.777461e+00,1.500000e+00,2.144131e+00,1,1,4.777461e+00,2
36,-4.776765e+00,2.500000e+00,2.144160e+00,1,2,4.776769e+00,2
37,-4.775722e+00,3.500000e+00,2.144202e+00,1,3,4.775731e+00,2
38,-4.774331e+00,4.500000e+00,2.144258e+00,1,4,4.774350e+00,2
39,-4.772592e+00,5.500000e+00,2.144329e+00,1,5,4.772628e+00,2
40,-4.770506e+00,6.500000e+00,2.144414e+00,1,6,4.770564e+00,2
41,-4.770023e+00,3.350000e+01,2.212834e+00,0,33,4.778046e+00,1
42,-4.768072e+00,7.500000e+00,2.144513e+00,1,7,4.768162e+00,2
43,-4.765291e+00,8.500000e+00,2.144626e+00,1,8,4.765422e+00,2
44,-4.762162e+00,9.500000e+00,2.144754e+00,1,9,4.762345e+00,2
45,-4.758687e+00,1.050000e+01,2.144895e+00,1,10,4.758934e+00,2
46,-4.758155e+00,3.450000e+01,2.213340e+00,0,34,4.766919e+00,1
47,-4.754864e+00,1.150000e+01,2.145051e+00,1,11,4.755188e+00,2
48,-4.750694e+00,1.250000e+01,2.145221e+00,1,12,4.751111e+00,2
49,-4.746178e+00,1.350000e+01,2.145405e+00,1,13,4.746703e+00,2
50,-4.745944e+00,3.550000e+01,2.213861e+00,0,35,4.755493e+00,1
51,-4.741315e+00,1.450000e+01,2.145604e+00,1,14,4.741966e+00,2
52,-4.736106e+00,1.550000e+01,2.145817e+00,1,15,4.736901e+00,2
53,-4.733391e+00,3.650000e+01,2.214397e+00,0,36,4.743770e+00,1
54,-4.730551e+00,1.650000e+01,2.146043e+00,1,16,4.731510e+00,2
55,-4.724650e+00,1.750000e+01,2.146285e+00,1,17,4.725794e+00,2
56,-4.720495e+00,3.750000e+01,2.214949e+00,0,37,4.731751e+00,1
57,-4.718404e+00,1.850000e+01,2.146540e+00,1,18,4.719755e+00,2
58,-4.711812e+00,1.950000e+01,2.146810e+00,1,19,4.713394e+00,2
59,-4.707257e+00,3.850000e+01,2.215516e+00,0,38,4.719439e+00,1
60,-4.704875e+00,2.050000e+01,2.147094e+00,1,20,4.706713e+00,2
61,-4.697593e+00,2.150000e+01,2.147392e+00,1,21,4.699714e+00,2
62,-4.693678e+00,3.950000e+01,2.216099e+00,0,39,4.706835e+00,1
63,-4.689967e+00,2.250000e+01,2.147705e+00,1,22,4.692397e+00,2
64,-4.681997e+00,2.350000e+01,2.148032e+00,1,23,4.684766e+00,2
65,-4.679759e+00,4.050000e+01,2.216697e+00,0,40,4.693942e+00,1
66,-4.673683e+00,2.450000e+01,2.148374e+00,1,24,4.676821e+00,2
67,-4.665500e+00,4.150000e+01,2.217311e+00,0,41,4.680762e+00,1
68,-4.665025e+00,2.550000e+01,2.148729e+00,1,25,4.668563e+00,2
69,-4.656025e+00,2.650000e+01,2.149100e+00,1,26,4.659995e+00,2
70,-4.650901e+00,4.250000e+01,2.217940e+00,0,42,4.667295e+00,1
71,-4.646681e+00,2.750000e+01,2.149485e+00,1,27,4.651119e+00,2
72,-4.636995e+00,2.850000e+01,2.149884e+00,1,28,4.641935e+00,2
73,-4.635964e+00,4.350000e+01,2.218584e+00,0,43,4.653545e+00,1
74,-4.626967e+00,2.950000e+01,2.150298e+00,1,29,4.632446e+00,2
75,-4.620688e+00,4.450000e+01,2.219245e+00,0,44,4.639514e+00,1
76,-4.616598e+00,3.050000e+01,2.150726e+00,1,30,4.622652e+00,2
77,-4.605888e+00,3.150000e+01,2.151169e+00,1,31,4.612558e+00,2
78,-4.605075e+00,4.550000e+01,2.219921e+00,0,45,4.625203e+00,1
79,-4.594837e+00,3.250000e+01,2.151626e+00,1,32,4.602162e+00,2
80,-4.591890e+00,5.000000e-01,2.105697e+00,2,0,4.591890e+00,3
81,-4.591546e+00,1.500000e+00,2.105710e+00,2,1,4.591547e+00,3
82,-4.590859e+00,2.500000e+00,2.105738e+00,2,2,4.590862e+00,3
83,-4.589827e+00,3.500000e+00,2.105779e+00,2,3,4.589837e+00,3
84,-4.589125e+00,4.650000e+01,2.220613e+00,0,46,4.610615e+00,1
85,-4.588452e+00,4.500000e+00,2.105835e+00,2,4,4.588472e+00,3
86,-4.586733e+00,5.500000e+00,2.105904e+00,2,5,4.586769e+00,3
87,-4.584671e+00,6.500000e+00,2.105987e+00,2,6,4.584729e+00,3
88,-4.583446e+00,3.350000e+01,2.152098e+00,1,33,4.591469e+00,2
89,-4.582265e+00,7.500000e+00,2.106084e+00,2,7,4.582355e+00,3
90,-4.579515e+00,8.500000e+00,2.106194e+00,2,8,4.579646e+00,3
91,-4.576423e+00,9.500000e+00,2.106319e+00,2,9,4.576605e+00,3
92,-4.572987e+00,1.050000e+01,2.106457e+00,2,10,4.573234e+00,3
93,-4.572839e+00,4.750000e+01,2.221320e+00,0,47,4.595753e+00,1
94,-4.571714e+00,3.450000e+01,2.152585e+00,1,34,4.580478e+00,2
95,-4.569207e+00,1.150000e+01,2.106609e+00,2,11,4.569532e+00,3
96,-4.565086e+00,1.250000e+01,2.106775e+00,2,12,4.565502e+00,3
97,-4.560621e+00,1.350000e+01,2.106955e+00,2,13,4.561146e+00,3
98,-4.559644e+00,3.550000e+01,2.153087e+00,1,35,4.569193e+00,2
99,-4.556217e+00,4.850000e+01,2.222043e+00,0,48,4.580618e+00,1
100,-4.555814e+00,1.450000e+01,2.107149e+00,2,14,4.556464e+00,3
101,-4.550665e+00,1.550000e+01,2.107357e+00,2,15,4.551459e+00,3
102,-4.547236e+00,3.650000e+01,2.153603e+00,1,36,4.557615e+00,2
103,-4.545173e+00,1.650000e+01,2.107579e+00,2,16,4.546131e+00,3
