#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,2
36,2
37,2
38,2
39,1
40,2
41,2
42,2
43,2
44,2
45,1
46,2
47,2
48,2
49,1
50,2
51,2
52,2
53,1
54,2
55,2
56,1
57,2
58,2
59,1
60,2
61,2
62,1
63,2
64,1
65,2
66,2
67,1
68,2
69,2
70,1
71,2
72,1
73,2
74,2
75,1
76,2
77,1
78,2
79,2
80,1
81,3
82,3
83,3
84,3
85,3
86,3
87,2
88,3
89,3
90,3
91,1
92,3
93,2
94,3
95,3
96,3
97,2
98,1
99,3
100,3
101,3
102,2
103,3
104,1
105,3
106,2
107,3
108,1
109,3
110,2
111,3
112,3
113,2
114,1
115,3
116,3
117,2
118,1
119,3
120,2
121,3
122,1
123,3
124,2
125,3
126,1
127,2
128,3
129,3
130,2
131,1
132,3
133,2
134,3
135,1
136,3
137,2
138,4
139,4
140,4
141,4
142,4
143,4
144,3
145,4
146,4
147,1
148,4
149,4
150,2
151,3
152,4
153,4
154,4
155,1
156,3
157,4
158,2
159,4
160,4
161,3
162,4
163,2
164,1
165,4
166,3
167,4
168,4
169,2
170,3
171,1
172,4
173,4
174,3
175,2
176,4
177,1
178,4
179,3
180,2
181,4
182,3
183,4
184,1
185,4
186,2
187,3
188,4
189,1
190,4
191,2
192,3
193,4
194,3
195,1
196,2
197,4
198,4
199,3
200,2
201,1
202,4
203,4
204,4
205,4
206,3
207,4
208,4
209,4
210,4
211,4
212,4
213,4
214,2
215,4
216,3
217,4
218,1
219,4
220,4
221,4
222,4
223,4
224,2
225,3
226,4
227,4
228,1
229,4
230,4
231,3
232,4
233,2
234,4
235,4
236,4
237,1
238,3
239,4
240,4
241,2
242,4
243,4
244,3
245,4
246,1
247,4
248,2
249,4
250,4
251,3
252,4
253,4
254,1
255,2
256,4
257,3
258,4
259,4
260,2
261,4
262,1
263,4
264,3
265,4
266,4
267,4
268,3
269,2
270,7
271,4
272,4
273,3
274,4
275,4
276,4
277,2
278,4
279,4
280,4
281,4
282,4
283,7
284,4
285,4
286,4
287,4
288,4
289,3
290,4
291,4
292,4
293,4
294,2
295,4
296,4
297,7
298,4
299,4
300,3
301,4
302,4
303,4
304,4
305,2
306,4
307,4
308,3
309,4
310,4
311,7
312,4
313,2
314,4
315,4
316,4
317,3
318,4
319,4
320,7
321,4
322,4
323,2
324,4
325,4
326,3
327,4
328,4
329,4
330,4
331,7
332,2
333,3
334,4
335,4
336,4
337,4
338,4
339,7
340,4
341,3
342,4
343,2
344,4
345,4
346,4
347,4
348,3
349,7
350,8
351,4
352,4
353,4
354,4
355,5
356,5
357,5
358,5
359,5
360,3
361,5
362,4
363,5
364,5
365,4
366,8
367,5
368,7
369,5
370,4
371,5
372,4
373,4
374,5
375,5
376,3
377,5
378,4
379,5
380,8
381,4
382,4
383,5
384,7
385,4
386,5
387,3
388,5
389,4
390,5
391,4
392,4
393,8
394,5
395,7
396,4
397,5
398,4
399,3
400,5
401,4
402,4
403,5
404,4
405,8
406,5
407,3
408,4
409,7
410,4
411,5
412,4
413,5
414,4
415,8
416,5
417,3
418,4
419,4
420,4
421,7
422,5
423,5
424,4
425,8
426,4
427,4
428,3
429,5
430,4
431,7
432,5
433,4
434,4
435,5
436,8
437,8
438,4
439,5
440,5
441,5
442,5
443,4
444,5
445,5
446,5
447,5
448,4
449,7
450,4
451,5
452,5
453,5
454,5
455,8
456,5
457,8
458,4
459,5
460,5
461,4
462,5
463,4
464,5
465,5
466,5
467,7
468,4
469,5
470,4
471,8
472,5
473,5
474,8
475,5
476,4
477,4
478,5
479,5
480,4
481,5
482,8
483,7
484,5
485,5
486,4
487,8
488,4
489,5
490,4
491,5
492,5
493,4
494,5
495,8
496,5
497,7
498,4
499,5
500,4
501,8
502,4
503,5
504,5
505,5
506,8
507,4
508,4
509,4
510,5
511,5
512,7
513,8
514,5
515,5
516,4
517,4
518,5
519,8
520,4
521,5
522,5
523,7
524,8
525,4
526,4
527,5
528,5
529,9
530,8
531,5
532,5
533,5
534,5
535,5
536,5
537,4
538,5
539,5
540,5
541,5
542,5
543,4
544,5
545,8
546,5
547,7
548,5
549,9
550,5
551,5
552,4
553,8
554,5
555,5
556,5
557,4
558,5
559,5
560,5
561,5
562,4
563,8
564,5
565,9
566,5
567,7
568,5
569,8
570,4
571,5
572,5
573,5
574,4
575,5
576,5
577,9
578,5
579,5
580,8
581,5
582,4
583,8
584,7
585,4
586,5
587,5
588,5
589,5
590,9
591,5
592,5
593,4
594,4
595,8
596,8
597,5
598,5
599,5
600,7
601,5
