t [s],Y_O2(1),Y_O2(2),Y_O2(3),Y_O,T [K],p [Pa],n [m^-3],E [J/kg]
0.0,0.9743589743587745,1.0256410256408154e-13,1.0256410256408154e-13,0.025641025641020387,10000.0,5000.0,3.62148525801996e+22,2565092.99419738
1e-14,0.9743589729400131,1.349735760650183e-09,4.9735968498338185e-11,0.025641025660515154,9999.999984153135,4999.9999921716035,3.621485258088795e+22,2565093.001991356
2e-14,0.9743589715212517,2.699368946816718e-09,9.936937307498778e-11,0.02564102568000992,9999.99996830627,4999.99998434321,3.62148525815763e+22,2565093.009785332
1.2e-13,0.9743589573336389,1.619569989434961e-08,5.957034347689239e-10,0.025641025874957653,9999.999809837636,4999.999906059262,3.6214852588459803e+22,2565093.0877250866
2.1999999999999997e-13,0.974358943146027,2.9692029801244243e-08,1.0920375145944733e-09,0.025641026069905447,9999.999651369011,4999.999827775319,3.6214852595343306e+22,2565093.1656648377
1.2199999999999996e-12,0.9743588012699941,1.6465523745309587e-07,6.05537990565342e-09,0.025641028019388522,9999.99806668361,4999.999044936348,3.6214852664178546e+22,2565093.9450619733
2.2199999999999994e-12,0.9743586593940573,2.9961834104071703e-07,1.1018724109863984e-08,0.02564102996887748,9999.996481999182,4999.998262097886,3.621485273301399e+22,2565094.7244586786
1.2219999999999998e-11,0.9743572406431552,1.6492402353076373e-06,6.065232542291125e-08,0.025641049464283965,9999.980635240287,4999.990433758328,3.6214853421386678e+22,2565102.51838804
2.2219999999999995e-11,0.9743558219018897,2.998851723363638e-06,1.1028610803071051e-07,0.02564106896027884,9999.964788578583,4999.982605469932,3.621485410978015e+22,2565110.3122744877
1.2221999999999997e-10,0.9743416353356894,1.6494052544127257e-05,6.066398517832668e-07,0.025641263971914584,9999.806330499088,4999.904327090151,3.621486099553984e+22,2565188.2473695865
2.2221999999999993e-10,0.9743274497329542,2.998821295602775e-05,1.1030117046058718e-06,0.025641459042385035,9999.647882137308,4999.82605382591,3.621486788337696e+22,2565266.178174225
1.2222199999999995e-09,0.9741856461381909,0.00016487319963147038,6.06771221743347e-06,0.025643412949960025,9998.063927372947,4999.0435995643265,3.6214936874839878e+22,2566045.2527222135
2.222219999999999e-09,0.9740439398074581,0.00029965316275452805,1.103422926646704e-05,0.025645372800520733,9996.480953657474,4998.261661773597,3.621500607614653e+22,2566823.8941129516
3.2222199999999984e-09,0.9739023314674339,0.00043432732455849334,1.6002566476327387e-05,0.025647338641531164,9994.89896833971,4997.480244348472,3.6215075488972864e+22,2567602.0990892663
1.3222219999999992e-08,0.9724916160417899,0.0017752756981180616,6.57818852946089e-05,0.02566732637479754,9979.133267198014,4989.694582131109,3.6215781245466184e+22,2575360.233994906
2.3222219999999985e-08,0.9710906009627521,0.0031057586475961344,0.00011572962330290826,0.025687910766348986,9963.465432082565,4981.96044597496,3.6216508069654034e+22,2583075.1426062253
3.322221999999998e-08,0.9696991851701798,0.004425891872027527,0.00016583434638095705,0.0257090886114118,9947.894460956371,4974.277308560686,3.6217255848377525e+22,2590747.255167047
8.501721181724694e-08,0.9626419980239349,0.01110241768877797,0.00042744234496349174,0.025828141942323777,9868.755290057064,4935.277864960351,3.6221459559734986e+22,2629817.038224523
1.368122036344939e-07,0.955825663561686,0.017520287202853684,0.0006915019229155133,0.025962547312544933,9792.04885498713,4897.559251002375,3.622620534363682e+22,2667809.942866357
1.8860719545174086e-07,0.9492372296835738,0.02369420677634166,0.0009567287306429824,0.026111834809441622,9717.645830017831,4861.053303925634,3.6231476607711695e+22,2704781.4571672254
2.4040218726898786e-07,0.9428648938519012,0.029637522936954326,0.0012220358226836597,0.026275547388461065,9645.427884630699,4825.697556271482,3.623725721395355e+22,2740782.2882289514
4.2030940285405314e-07,0.922263540977714,0.04865449218067639,0.0021317930657493676,0.026950173775859957,9410.085093790965,4711.048154628225,3.626107792174073e+22,2858917.641637517
6.002166184391184e-07,0.9037737234475325,0.06544510478646845,0.0030044072440163477,0.027776764521981457,9196.084392375755,4607.6169082452025,3.6290264412205267e+22,2967481.552100231
7.801238340241836e-07,0.8871187346085464,0.08031636289408797,0.00382395950566512,0.028740942991698035,9000.577234020444,4513.8903767079655,3.6324309053818475e+22,3067675.7292539207
9.600310496092488e-07,0.8720869778666369,0.09350162861366018,0.004581089468692925,0.02983030405100653,8821.357075590595,4428.694159157763,3.6362773827733667e+22,3160419.5145254806
