#--------------------------#
# x [m]  X_O  X_O2_1  X_O2_2  X_O2_3  u [m/s]  Th [K]  rho [kg/m^3]  p [Pa]  nd [1/m^3]  H [J/kg]  Mf
  0.000000000000E+00  0.500000000000E-01  0.950000000000E+00  0.100000000001E-13  0.100000000001E-13  0.894512417119E+03  0.138338618078E+05  0.349571890308E-01  0.128877117327E+06  0.674759639761E+24  0.134601083637E+08  0.368889037275E+00
  0.100000000000E-13  0.500000000060E-01  0.949999999942E+00  0.485914721520E-10  0.365130926961E-11  0.894512417083E+03  0.138338618074E+05  0.349571890322E-01  0.128877117329E+06  0.674759639790E+24  0.134601083637E+08  0.368889037267E+00
  0.201000000000E-13  0.500000000120E-01  0.949999999883E+00  0.976587590227E-10  0.732903163247E-11  0.894512417048E+03  0.138338618069E+05  0.349571890336E-01  0.128877117330E+06  0.674759639819E+24  0.134601083637E+08  0.368889037259E+00
  0.303010000000E-13  0.500000000181E-01  0.949999999824E+00  0.147216718762E-09  0.110435312189E-10  0.894512417011E+03  0.138338618064E+05  0.349571890350E-01  0.128877117331E+06  0.674759639848E+24  0.134601083637E+08  0.368889037250E+00
  0.406040100000E-13  0.500000000243E-01  0.949999999764E+00  0.197270258092E-09  0.147951758026E-10  0.894512416975E+03  0.138338618059E+05  0.349571890365E-01  0.128877117332E+06  0.674759639878E+24  0.134601083637E+08  0.368889037242E+00
  0.510100501000E-13  0.500000000305E-01  0.949999999703E+00  0.247824332820E-09  0.185843368310E-10  0.894512416938E+03  0.138338618054E+05  0.349571890379E-01  0.128877117333E+06  0.674759639908E+24  0.134601083637E+08  0.368889037233E+00
  0.615201506010E-13  0.500000000368E-01  0.949999999642E+00  0.298883948294E-09  0.224113894699E-10  0.894512416901E+03  0.138338618049E+05  0.349571890394E-01  0.128877117334E+06  0.674759639938E+24  0.134601083637E+08  0.368889037225E+00
  0.721353521070E-13  0.500000000431E-01  0.949999999580E+00  0.350454159921E-09  0.262767126354E-10  0.894512416863E+03  0.138338618044E+05  0.349571890408E-01  0.128877117335E+06  0.674759639969E+24  0.134601083637E+08  0.368889037216E+00
  0.828567056281E-13  0.500000000495E-01  0.949999999518E+00  0.402540073662E-09  0.301806890329E-10  0.894512416825E+03  0.138338618039E+05  0.349571890423E-01  0.128877117337E+06  0.674759640000E+24  0.134601083637E+08  0.368889037207E+00
  0.936852726844E-13  0.500000000560E-01  0.949999999455E+00  0.455146846539E-09  0.341237051947E-10  0.894512416786E+03  0.138338618034E+05  0.349571890438E-01  0.128877117338E+06  0.674759640031E+24  0.134601083637E+08  0.368889037198E+00
  0.104622125411E-12  0.500000000625E-01  0.949999999391E+00  0.508279687143E-09  0.381061515184E-10  0.894512416748E+03  0.138338618029E+05  0.349571890453E-01  0.128877117339E+06  0.674759640062E+24  0.134601083637E+08  0.368889037189E+00
  0.115668346665E-12  0.500000000691E-01  0.949999999327E+00  0.561943856151E-09  0.421284223056E-10  0.894512416708E+03  0.138338618024E+05  0.349571890469E-01  0.128877117340E+06  0.674759640094E+24  0.134601083637E+08  0.368889037180E+00
  0.126825030132E-12  0.500000000758E-01  0.949999999262E+00  0.616144666847E-09  0.461909158011E-10  0.894512416669E+03  0.138338618018E+05  0.349571890484E-01  0.128877117342E+06  0.674759640126E+24  0.134601083637E+08  0.368889037171E+00
