#--------------------------#
# x [m]  X_O  X_O2  u [m/s]  Th [K]  rho [kg/m^3]  p [Pa]  nd [1/m^3]  H [J/kg]  Mf
  0.000000000000E+00  0.100000000001E-13  0.100000000000E+01  0.712498102401E+03  0.145344815271E+05  0.540151759222E-02  0.203993266482E+05  0.101655997281E+24  0.182731307142E+08  0.327895426159E+00
  0.100000000000E-13  0.902048995491E-10  0.999999999910E+00  0.712498102403E+03  0.145344815265E+05  0.540151759221E-02  0.203993266482E+05  0.101655997285E+24  0.182731307142E+08  0.327895426158E+00
  0.201000000000E-13  0.181301748106E-09  0.999999999819E+00  0.712498102405E+03  0.145344815258E+05  0.540151759219E-02  0.203993266482E+05  0.101655997290E+24  0.182731307142E+08  0.327895426157E+00
  0.303010000000E-13  0.273309565162E-09  0.999999999727E+00  0.712498102407E+03  0.145344815252E+05  0.540151759218E-02  0.203993266482E+05  0.101655997294E+24  0.182731307142E+08  0.327895426156E+00
  0.406040100000E-13  0.366237460404E-09  0.999999999634E+00  0.712498102409E+03  0.145344815246E+05  0.540151759216E-02  0.203993266482E+05  0.101655997299E+24  0.182731307142E+08  0.327895426155E+00
  0.510100501000E-13  0.460094634613E-09  0.999999999540E+00  0.712498102411E+03  0.145344815239E+05  0.540151759215E-02  0.203993266482E+05  0.101655997303E+24  0.182731307142E+08  0.327895426154E+00
  0.615201506010E-13  0.554890380579E-09  0.999999999445E+00  0.712498102413E+03  0.145344815233E+05  0.540151759213E-02  0.203993266481E+05  0.101655997308E+24  0.182731307142E+08  0.327895426153E+00
  0.721353521070E-13  0.650634084021E-09  0.999999999349E+00  0.712498102415E+03  0.145344815226E+05  0.540151759211E-02  0.203993266481E+05  0.101655997312E+24  0.182731307142E+08  0.327895426152E+00
  0.828567056281E-13  0.747335224513E-09  0.999999999253E+00  0.712498102417E+03  0.145344815219E+05  0.540151759210E-02  0.203993266481E+05  0.101655997317E+24  0.182731307142E+08  0.327895426151E+00
  0.936852726844E-13  0.845003376426E-09  0.999999999155E+00  0.712498102419E+03  0.145344815213E+05  0.540151759208E-02  0.203993266481E+05  0.101655997321E+24  0.182731307142E+08  0.327895426150E+00
  0.104622125411E-12  0.943648209875E-09  0.999999999056E+00  0.712498102421E+03  0.145344815206E+05  0.540151759206E-02  0.203993266481E+05  0.101655997326E+24  0.182731307142E+08  0.327895426149E+00
  0.115668346665E-12  0.104327949168E-08  0.999999998957E+00  0.712498102423E+03  0.145344815199E+05  0.540151759205E-02  0.203993266481E+05  0.101655997331E+24  0.182731307142E+08  0.327895426147E+00
  0.126825030132E-12  0.114390708631E-08  0.999999998856E+00  0.712498102426E+03  0.145344815192E+05  0.540151759203E-02  0.203993266481E+05  0.101655997336E+24  0.182731307142E+08  0.327895426146E+00
