#Idx,EeV,g,rIn,v,J,ECB,Group
1,-9.757122e+00,6.000000e+00,1.994567e+00,0,0,9.757122e+00,1
2,-9.756629e+00,9.000000e+00,1.994579e+00,0,1,9.756654e+00,1
3,-9.755643e+00,3.000000e+01,1.994601e+00,0,2,9.755726e+00,1
4,-9.754164e+00,2.100000e+01,1.994634e+00,0,3,9.754342e+00,1
5,-9.752192e+00,5.400000e+01,1.994678e+00,0,4,9.752506e+00,1
6,-9.749727e+00,3.300000e+01,1.994734e+00,0,5,9.750221e+00,1
7,-9.746770e+00,7.800000e+01,1.994801e+00,0,6,9.747489e+00,1
8,-9.743320e+00,4.500000e+01,1.994878e+00,0,7,9.744313e+00,1
9,-9.739377e+00,1.020000e+02,1.994967e+00,0,8,9.740695e+00,1
10,-9.734943e+00,5.700000e+01,1.995067e+00,0,9,9.736638e+00,1
11,-9.730015e+00,1.260000e+02,1.995178e+00,0,10,9.732142e+00,1
12,-9.724596e+00,6.900000e+01,1.995300e+00,0,11,9.727210e+00,1
13,-9.718685e+00,1.500000e+02,1.995434e+00,0,12,9.721844e+00,1
14,-9.712283e+00,8.100000e+01,1.995578e+00,0,13,9.716046e+00,1
15,-9.705388e+00,1.740000e+02,1.995734e+00,0,14,9.709817e+00,1
16,-9.698003e+00,9.300000e+01,1.995901e+00,0,15,9.703158e+00,1
17,-9.690126e+00,1.980000e+02,1.996079e+00,0,16,9.696072e+00,1
18,-9.681759e+00,1.050000e+02,1.996267e+00,0,17,9.688561e+00,1
19,-9.672902e+00,2.220000e+02,1.996468e+00,0,18,9.680625e+00,1
20,-9.663554e+00,1.170000e+02,1.996679e+00,0,19,9.672266e+00,1
21,-9.653716e+00,2.460000e+02,1.996902e+00,0,20,9.663486e+00,1
22,-9.643389e+00,1.290000e+02,1.997136e+00,0,21,9.654286e+00,1
23,-9.632573e+00,2.700000e+02,1.997381e+00,0,22,9.644668e+00,1
24,-9.621268e+00,1.410000e+02,1.997637e+00,0,23,9.634634e+00,1
25,-9.609475e+00,2.940000e+02,1.997904e+00,0,24,9.624184e+00,1
26,-9.597194e+00,1.530000e+02,1.998183e+00,0,25,9.613321e+00,1
27,-9.584425e+00,3.180000e+02,1.998473e+00,0,26,9.602046e+00,1
28,-9.571169e+00,1.650000e+02,1.998774e+00,0,27,9.590360e+00,1
29,-9.557426e+00,3.420000e+02,1.999086e+00,0,28,9.578265e+00,1
30,-9.543197e+00,1.770000e+02,1.999410e+00,0,29,9.565763e+00,1
31,-9.528483e+00,3.660000e+02,1.999745e+00,0,30,9.552855e+00,1
32,-9.513283e+00,1.890000e+02,2.000091e+00,0,31,9.539541e+00,1
