#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,2
36,2
37,1
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,1
46,2
47,2
48,2
49,1
50,2
51,2
52,2
53,1
54,2
55,2
56,1
57,2
58,2
59,1
60,2
61,2
62,1
63,2
64,2
65,1
66,2
67,2
68,1
69,2
70,2
71,1
72,2
73,1
74,2
75,2
76,1
77,2
78,1
79,2
80,2
81,1
82,2
83,1
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,1
96,2
97,2
98,2
99,2
100,2
101,2
102,1
103,2
104,2
105,2
106,2
107,1
108,2
109,2
110,2
111,2
112,2
113,1
114,2
115,2
116,2
117,1
118,2
119,2
120,2
121,2
122,1
123,2
124,2
125,2
126,2
127,1
128,2
129,2
130,2
131,1
132,2
133,2
134,2
135,1
136,2
137,2
138,2
139,1
140,2
141,2
142,2
143,1
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,1
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,1
168,2
169,2
170,2
171,2
172,2
173,1
174,2
175,2
176,2
177,2
178,2
179,2
180,1
181,2
182,2
183,2
184,2
185,2
186,2
187,1
188,2
189,2
190,2
191,2
192,2
193,1
194,2
195,2
196,2
197,2
198,2
199,1
200,2
201,2
202,2
203,2
204,2
205,1
206,2
207,2
208,2
209,2
210,1
211,2
212,3
213,3
214,3
215,2
216,3
217,2
218,3
219,3
220,3
221,3
222,3
223,2
224,3
225,2
226,3
227,1
228,2
229,3
230,3
231,2
232,3
233,2
234,3
235,2
236,3
237,2
238,1
239,3
240,2
241,3
242,2
243,3
244,2
245,3
246,2
247,2
248,1
249,3
250,3
251,2
252,2
253,3
254,2
255,2
256,3
257,1
258,3
259,2
260,2
261,2
262,3
263,1
264,3
265,2
266,2
267,3
268,2
269,2
270,3
271,2
272,1
273,3
274,2
275,2
276,3
277,2
278,2
279,3
280,1
281,2
282,3
283,2
284,2
285,3
286,1
287,2
288,3
289,3
290,3
291,2
292,3
293,3
294,3
295,2
296,3
297,3
298,3
299,3
300,3
301,3
302,2
303,3
304,3
305,2
306,1
307,2
308,3
309,3
310,3
311,2
312,3
313,3
314,3
315,2
316,3
317,2
318,1
319,3
320,2
321,3
322,3
323,3
324,3
325,2
326,2
327,3
328,2
329,1
330,3
331,3
332,3
333,2
334,2
335,3
336,3
337,2
338,3
339,1
340,2
341,3
342,2
343,3
344,3
345,2
346,3
347,2
348,3
349,2
350,1
351,3
352,3
353,2
354,2
355,3
356,3
357,2
358,3
359,5
360,2
361,3
362,3
363,2
364,2
365,3
366,2
367,3
368,5
369,3
370,3
371,3
372,2
373,3
374,3
375,2
376,3
377,3
378,3
379,3
380,2
381,3
382,3
383,3
384,3
385,3
386,3
387,3
388,5
389,3
390,3
391,2
392,2
393,2
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,2
402,5
403,2
404,3
405,3
406,3
407,2
408,3
409,3
410,3
411,2
412,3
413,3
414,2
415,3
416,5
417,3
418,2
419,3
420,3
421,2
422,3
423,3
424,2
425,3
426,3
427,3
428,2
429,5
430,3
431,2
432,3
433,3
434,2
435,3
436,3
437,2
438,2
439,3
440,3
441,5
442,3
443,3
444,2
445,3
446,2
447,3
448,5
449,3
450,3
451,3
452,5
453,2
454,3
455,2
456,3
457,3
458,3
459,5
460,3
461,3
462,3
463,3
464,3
465,5
466,3
467,2
468,3
469,3
470,2
471,3
472,3
473,3
474,3
475,3
476,3
477,3
478,3
479,3
480,5
481,3
482,3
483,3
484,2
485,3
486,2
487,3
488,5
489,3
490,3
491,3
492,3
493,3
494,3
495,2
496,3
497,5
498,3
499,2
500,3
501,3
502,3
503,5
504,3
505,3
506,3
507,2
508,3
509,3
510,5
511,2
512,3
513,3
514,3
515,3
516,3
517,5
518,3
519,2
520,3
521,3
522,3
523,2
524,5
525,3
526,3
527,3
528,2
529,3
530,3
531,5
532,3
533,3
534,3
535,2
536,5
537,3
538,3
539,2
540,3
541,3
542,3
543,5
544,3
545,3
546,5
547,3
548,5
549,2
550,3
551,3
552,3
553,3
554,3
555,4
556,4
557,5
558,4
559,5
560,4
561,4
562,4
563,3
564,3
565,4
566,2
567,3
568,4
569,5
570,3
571,4
572,4
573,3
574,4
575,4
576,3
577,4
578,3
579,5
580,4
581,3
582,3
583,2
584,5
585,4
586,3
587,4
588,5
589,3
590,4
591,4
592,3
593,3
594,3
595,3
596,4
597,5
598,2
599,4
600,3
601,5
