#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,3
55,2
56,3
57,3
58,2
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,4
80,3
81,4
82,4
83,4
84,4
85,4
86,4
87,4
88,4
89,3
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,5
120,4
121,5
122,4
123,5
124,4
125,5
126,4
127,5
128,5
129,5
130,5
131,4
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,5
149,5
150,5
151,5
152,5
153,5
154,6
155,5
156,6
157,5
158,6
159,6
160,5
161,6
162,5
163,5
164,6
165,6
166,6
167,6
168,5
169,5
170,6
171,6
172,6
173,5
174,6
175,6
176,5
177,6
178,6
179,6
180,6
181,6
182,5
183,6
184,6
185,6
186,6
187,6
188,6
189,6
190,6
191,6
192,6
193,6
194,6
195,6
196,6
197,7
198,6
199,7
200,6
201,6
202,7
203,6
204,7
205,7
206,7
207,7
208,7
209,6
210,7
211,7
212,7
213,6
214,7
215,7
216,7
217,7
218,7
219,7
220,7
221,6
222,7
223,7
224,7
225,7
226,6
227,7
228,7
229,7
230,7
231,7
232,7
233,7
234,7
235,6
236,7
237,7
238,7
239,7
240,7
241,7
242,7
243,6
244,7
245,7
246,7
247,8
248,7
249,8
250,7
251,8
252,7
253,7
254,7
255,8
256,7
257,8
258,8
259,7
260,8
261,7
262,7
263,8
264,8
265,8
266,8
267,7
268,8
269,7
270,8
271,8
272,8
273,8
274,7
275,7
276,8
277,8
278,8
279,8
280,8
281,8
282,8
283,8
284,8
285,8
286,8
287,9
288,8
289,9
290,8
291,9
292,8
293,7
294,9
295,9
296,8
297,9
298,8
299,8
300,9
301,8
302,9
303,9
304,9
305,7
306,8
307,8
308,9
309,9
310,9
311,8
312,9
313,8
314,9
315,9
316,8
317,8
318,9
319,9
320,9
321,9
322,8
323,9
324,8
325,9
326,9
327,8
328,9
329,9
330,8
331,9
332,8
333,9
334,9
335,9
336,9
337,8
338,9
339,8
340,9
341,9
342,9
343,9
344,10
345,9
346,8
347,9
348,9
349,9
350,10
351,9
352,10
353,9
354,9
355,10
356,8
357,9
358,10
359,10
360,10
361,10
362,10
363,10
364,10
365,10
366,10
367,9
368,10
369,10
370,9
371,10
372,10
373,10
374,10
375,9
376,10
377,9
378,10
379,9
380,10
381,10
382,10
383,10
384,9
385,10
386,10
387,10
388,10
389,9
390,10
391,9
392,10
393,10
394,10
395,9
396,10
397,10
398,10
399,10
400,10
401,9
402,11
403,10
404,9
405,10
406,10
407,11
408,10
409,11
410,10
411,10
412,9
413,11
414,10
415,11
416,9
417,11
418,10
419,10
420,11
421,11
422,10
423,11
424,10
425,10
426,10
427,11
428,11
429,9
430,11
431,11
432,10
433,10
434,11
435,10
436,11
437,11
438,11
439,9
440,11
441,10
442,11
443,10
444,10
445,11
446,11
447,11
448,11
449,11
450,11
451,11
452,11
453,12
454,11
455,12
456,12
457,11
458,12
459,11
460,10
461,11
462,12
463,12
464,10
465,12
466,10
467,11
468,11
469,12
470,11
471,12
472,11
473,12
474,12
475,12
476,10
477,11
478,11
479,11
480,12
481,12
482,10
483,12
484,11
485,12
486,11
487,12
488,11
489,12
490,11
491,10
492,12
493,12
494,12
495,10
496,12
497,11
498,11
499,12
500,12
501,12
502,12
503,11
504,12
505,10
506,11
507,12
508,12
509,11
510,12
511,12
512,12
513,12
514,11
515,12
516,11
517,12
518,12
519,12
520,10
521,11
522,12
523,12
524,12
525,12
526,11
527,13
528,12
529,12
530,13
531,11
532,11
533,12
534,12
535,13
536,13
537,13
538,13
539,13
540,12
541,11
542,13
543,13
544,13
545,13
546,13
547,13
548,12
549,13
550,13
551,13
552,12
553,13
554,13
555,11
556,13
557,11
558,13
559,12
560,12
561,13
562,13
563,12
564,13
565,13
566,13
567,12
568,13
569,13
570,13
571,11
572,13
573,13
574,12
575,13
576,11
577,13
578,12
579,13
580,12
581,13
582,13
583,13
584,13
585,13
586,12
587,13
588,12
589,13
590,14
591,12
592,13
593,11
594,13
595,14
596,13
597,13
598,14
599,12
600,13
601,14
