#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,2
36,2
37,2
38,1
39,2
40,2
41,2
42,2
43,2
44,1
45,2
46,2
47,2
48,1
49,2
50,2
51,2
52,1
53,2
54,2
55,1
56,2
57,2
58,1
59,2
60,2
61,1
62,2
63,2
64,1
65,2
66,2
67,1
68,2
69,1
70,2
71,2
72,1
73,2
74,2
75,1
76,2
77,1
78,2
79,2
80,1
81,3
82,3
83,3
84,3
85,2
86,3
87,3
88,3
89,1
90,3
91,3
92,2
93,3
94,3
95,3
96,1
97,3
98,2
99,3
100,3
101,2
102,3
103,1
104,3
105,2
106,3
107,3
108,1
109,2
110,3
111,3
112,1
113,2
114,3
115,3
116,2
117,3
118,1
119,3
120,2
121,3
122,1
123,3
124,2
125,3
126,1
127,2
128,3
129,3
130,2
131,1
132,3
133,2
134,3
135,1
136,3
137,2
138,3
139,3
140,3
141,6
142,3
143,3
144,3
145,3
146,3
147,3
148,2
149,3
150,3
151,3
152,3
153,6
154,3
155,2
156,3
157,3
158,3
159,3
160,3
161,3
162,6
163,2
164,3
165,3
166,3
167,3
168,2
169,6
170,3
171,3
172,3
173,2
174,3
175,3
176,6
177,3
178,3
179,3
180,2
181,3
182,6
183,3
184,3
185,2
186,3
187,3
188,6
189,3
190,2
191,3
192,3
193,3
194,6
195,3
196,2
197,3
198,3
199,3
200,2
201,6
202,3
203,3
204,4
205,4
206,4
207,4
208,4
209,7
210,3
211,4
212,4
213,6
214,4
215,3
216,4
217,4
218,3
219,4
220,4
221,7
222,4
223,3
224,3
225,4
226,6
227,4
228,3
229,4
230,7
231,3
232,4
233,4
234,3
235,6
236,4
237,3
238,4
239,7
240,3
241,4
242,4
243,6
244,3
245,3
246,7
247,4
248,3
249,4
250,3
251,4
252,6
253,3
254,7
255,4
256,3
257,4
258,3
259,6
260,4
261,7
262,3
263,3
264,4
265,4
266,3
267,7
268,3
269,6
270,4
271,3
272,4
273,3
274,7
275,6
276,4
277,3
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,7
286,4
287,4
288,7
289,4
290,3
291,4
292,4
293,6
294,4
295,4
296,7
297,4
298,4
299,3
300,4
301,7
302,4
303,4
304,4
305,6
306,3
307,7
308,4
309,4
310,4
311,7
312,4
313,3
314,4
315,4
316,7
317,6
318,4
319,4
320,4
321,3
322,7
323,4
324,7
325,4
326,4
327,6
328,3
329,4
330,7
331,4
332,7
333,4
334,3
335,4
336,4
337,6
338,4
339,7
340,7
341,3
342,4
343,4
344,4
345,4
346,6
347,7
348,3
349,7
350,4
351,4
352,4
353,3
354,7
355,4
356,6
357,7
358,4
359,4
360,4
361,4
362,4
363,4
364,4
365,4
366,4
367,8
368,4
369,4
370,7
371,4
372,4
373,4
374,4
375,7
376,4
377,6
378,4
379,8
380,4
381,4
382,4
383,4
384,7
385,4
386,4
387,4
388,4
389,7
390,8
391,6
392,4
393,4
394,4
395,7
396,4
397,4
398,4
399,8
400,4
401,7
402,4
403,4
404,6
405,4
406,7
407,4
408,8
409,4
410,4
411,4
412,7
413,4
414,7
415,4
416,6
417,4
418,8
419,4
420,4
421,4
422,7
423,4
424,7
425,8
426,4
427,4
428,4
429,6
430,4
431,4
432,8
433,7
434,4
435,7
436,4
437,4
438,4
439,6
440,4
441,8
442,4
443,7
444,7
445,4
446,5
447,5
448,5
449,5
450,5
451,5
452,4
453,5
454,8
455,5
456,5
457,4
458,5
459,8
460,6
461,4
462,5
463,5
464,7
465,5
466,7
467,8
468,4
469,5
470,4
471,5
472,8
473,5
474,4
475,5
476,6
477,4
478,8
479,7
480,5
481,4
482,7
483,5
484,8
485,5
486,4
487,4
488,8
489,5
490,7
491,6
492,5
493,4
494,4
495,7
496,5
497,8
498,8
499,5
500,4
501,4
502,5
503,7
504,4
505,6
506,8
507,5
508,8
509,7
510,4
511,5
512,4
513,5
514,7
515,8
516,8
517,4
518,4
519,5
520,6
521,7
522,5
523,4
524,4
525,8
526,7
527,5
528,8
529,4
530,5
531,7
532,6
533,4
534,8
535,5
536,5
537,4
538,5
539,5
540,8
541,7
542,5
543,5
544,5
545,5
546,5
547,5
548,8
549,5
550,5
551,4
552,8
553,5
554,5
555,7
556,5
557,6
558,5
559,8
560,7
561,5
562,5
563,8
564,4
565,5
566,5
567,8
568,5
569,5
570,4
571,7
572,8
573,5
574,8
575,5
576,6
577,5
578,7
579,5
580,8
581,4
582,5
583,5
584,8
585,5
586,8
587,5
588,7
589,4
590,5
591,7
592,8
593,6
594,8
595,5
596,5
597,4
598,5
599,8
600,5
601,5
