#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,1
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,1
44,2
45,2
46,2
47,2
48,1
49,2
50,2
51,2
52,1
53,2
54,2
55,1
56,2
57,2
58,1
59,2
60,2
61,1
62,2
63,2
64,1
65,2
66,2
67,1
68,2
69,1
70,2
71,2
72,1
73,2
74,1
75,2
76,2
77,1
78,2
79,1
80,2
81,3
82,3
83,2
84,3
85,3
86,3
87,1
88,3
89,3
90,3
91,3
92,2
93,3
94,3
95,1
96,3
97,2
98,3
99,3
100,3
101,2
102,1
103,3
104,3
105,2
106,3
107,1
108,3
109,2
110,3
111,1
112,3
113,2
114,3
115,3
116,1
117,2
118,3
119,3
120,2
121,1
122,3
123,2
124,3
125,1
126,3
127,2
128,3
129,1
130,2
131,3
132,3
133,2
134,1
135,3
136,2
137,3
138,1
139,4
140,4
141,4
142,3
143,4
144,4
145,2
146,4
147,4
148,4
149,4
150,3
151,1
152,4
153,4
154,2
155,4
156,3
157,4
158,4
159,1
160,4
161,3
162,2
163,4
164,4
165,3
166,4
167,1
168,2
169,4
170,3
171,4
172,4
173,2
174,1
175,3
176,4
177,4
178,3
179,2
180,4
181,1
182,4
183,3
184,2
185,4
186,1
187,3
188,4
189,2
190,4
191,3
192,4
193,1
194,2
195,3
196,4
197,4
198,1
199,3
200,2
201,4
202,3
203,4
204,2
205,1
206,5
207,5
208,5
209,5
210,4
211,5
212,5
213,3
214,5
215,5
216,5
217,4
218,5
219,2
220,5
221,1
222,5
223,3
224,4
225,5
226,5
227,2
228,5
229,4
230,3
231,5
232,1
233,5
234,4
235,5
236,2
237,3
238,5
239,4
240,5
241,1
242,5
243,3
244,4
245,2
246,5
247,5
248,1
249,4
250,3
251,5
252,2
253,5
254,4
255,3
256,5
257,1
258,4
259,5
260,2
261,3
262,5
263,4
264,5
265,1
266,2
267,3
268,5
269,4
270,5
271,4
272,2
273,1
274,3
275,5
276,4
277,5
278,3
279,2
280,6
281,6
282,6
283,1
284,6
285,5
286,6
287,6
288,6
289,4
290,6
291,6
292,5
293,6
294,3
295,6
296,2
297,6
298,4
299,5
300,6
301,1
302,6
303,6
304,3
305,5
306,4
307,6
308,2
309,6
310,5
311,6
312,1
313,4
314,3
315,6
316,5
317,6
318,2
319,6
320,4
321,5
322,6
323,3
324,1
325,6
326,5
327,2
328,4
329,6
330,3
331,6
332,5
333,1
334,6
335,4
336,2
337,6
338,5
339,3
340,6
341,4
342,1
343,5
344,6
345,2
346,3
347,6
348,4
349,5
350,6
351,1
352,5
353,3
354,2
355,4
356,6
357,6
358,5
359,4
360,7
361,7
362,7
363,3
364,1
365,7
366,7
367,6
368,2
369,7
370,7
371,5
372,7
373,7
374,6
375,7
376,7
377,4
378,7
379,3
380,5
381,7
382,6
383,1
384,2
385,7
386,7
387,6
388,4
389,7
390,5
391,7
392,3
393,6
394,7
395,2
396,7
397,1
398,5
399,4
400,7
401,6
402,3
403,7
404,5
405,6
406,7
407,4
408,2
409,7
410,1
411,6
412,7
413,5
414,3
415,7
416,4
417,6
418,2
419,7
420,5
421,1
422,7
423,3
424,6
425,4
426,7
427,5
428,6
429,2
430,7
431,3
432,4
433,25
434,7
435,5
436,6
437,7
438,2
439,6
440,4
441,5
442,7
443,3
444,25
445,7
446,6
447,8
448,8
449,8
450,5
451,8
452,8
453,4
454,7
455,8
456,2
457,8
458,3
459,8
460,6
461,8
462,8
463,7
464,8
465,25
466,5
467,8
468,6
469,8
470,4
471,7
472,8
473,3
474,2
475,8
476,7
477,8
478,5
479,6
480,8
481,4
482,25
483,8
484,7
485,8
486,3
487,6
488,5
489,2
490,8
491,7
492,8
493,4
494,6
495,8
496,7
497,25
498,5
499,8
500,3
501,2
502,7
503,8
504,6
505,4
506,8
507,5
508,7
509,8
510,3
511,6
512,25
513,8
514,7
515,2
516,4
517,5
518,8
519,6
520,7
521,8
522,3
523,25
524,4
525,5
526,8
527,7
528,6
529,26
530,8
531,7
532,3
533,8
534,5
535,6
536,4
537,25
538,8
539,26
540,7
541,9
542,9
543,9
544,9
545,9
546,6
547,8
548,9
549,5
550,9
551,9
552,3
553,7
554,4
555,9
556,9
557,8
558,9
559,9
560,6
561,25
562,26
563,9
564,7
565,8
566,5
567,9
568,9
569,4
570,3
571,8
572,9
573,6
574,7
575,9
576,9
577,5
578,8
579,26
580,25
581,9
582,7
583,4
584,6
585,9
586,8
587,3
588,9
589,5
590,9
591,7
592,8
593,6
594,9
595,26
596,4
597,25
598,8
599,9
600,3
601,7
