#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,1
42,2
43,2
44,2
45,2
46,1
47,2
48,2
49,2
50,1
51,2
52,2
53,1
54,2
55,2
56,1
57,2
58,2
59,1
60,2
61,2
62,1
63,2
64,2
65,1
66,2
67,1
68,2
69,2
70,1
71,2
72,2
73,1
74,2
75,1
76,2
77,2
78,1
79,2
80,3
81,3
82,3
83,3
84,1
85,3
86,3
87,3
88,2
89,3
90,3
91,3
92,3
93,1
94,2
95,3
96,3
97,3
98,2
99,1
100,3
101,3
102,2
103,3
104,3
105,1
106,2
107,3
108,3
109,1
110,2
111,3
112,3
113,2
114,3
115,1
116,3
117,2
118,3
119,1
120,3
121,2
122,3
123,1
124,2
125,3
126,3
127,2
128,1
129,3
130,2
131,3
132,1
133,3
134,2
135,1
136,3
137,4
138,4
139,4
140,4
141,4
142,2
143,4
144,4
145,3
146,4
147,4
148,4
149,1
150,4
151,2
152,3
153,4
154,4
155,4
156,3
157,4
158,2
159,1
160,4
161,3
162,4
163,4
164,2
165,1
166,3
167,4
168,4
169,3
170,2
171,4
172,1
173,4
174,3
175,4
176,2
177,4
178,3
179,1
180,4
181,2
182,4
183,3
184,4
185,1
186,2
187,3
188,4
189,4
190,3
191,1
192,2
193,4
194,3
195,4
196,2
197,1
198,4
199,3
200,4
201,2
202,5
203,5
204,5
205,5
206,5
207,5
208,1
209,3
210,5
211,5
212,4
213,5
214,5
215,5
216,2
217,4
218,3
219,5
220,5
221,1
222,5
223,4
224,5
225,3
226,2
227,5
228,4
229,5
230,1
231,5
232,3
233,5
234,4
235,2
236,5
237,4
238,5
239,3
240,1
241,5
242,2
243,4
244,5
245,3
246,5
247,4
248,1
249,2
250,5
251,3
252,5
253,4
254,5
255,2
256,1
257,3
258,4
259,5
260,5
261,4
262,3
263,2
264,1
265,5
266,4
267,5
268,3
269,2
270,5
271,4
272,16
273,5
274,6
275,6
276,6
277,3
278,6
279,6
280,6
281,4
282,6
283,2
284,6
285,5
286,6
287,6
288,16
289,6
290,3
291,5
292,6
293,4
294,6
295,6
296,2
297,5
298,6
299,4
300,6
301,3
302,16
303,6
304,5
305,6
306,2
307,4
308,6
309,5
310,3
311,6
312,16
313,6
314,5
315,4
316,2
317,6
318,3
319,5
320,6
321,4
322,6
323,16
324,5
325,2
326,6
327,3
328,4
329,6
330,5
331,6
332,16
333,3
334,2
335,4
336,5
337,6
338,6
339,5
340,4
341,3
342,6
343,16
344,2
345,5
346,6
347,4
348,3
349,6
350,5
351,17
352,16
353,6
354,7
355,7
356,7
357,7
358,7
359,4
360,7
361,7
362,5
363,7
364,3
365,6
366,7
367,7
368,7
369,17
370,7
371,6
372,4
373,5
374,16
375,7
376,7
377,3
378,6
379,7
380,5
381,7
382,4
383,7
384,17
385,6
386,7
387,16
388,3
389,5
390,7
391,6
392,4
393,7
394,7
395,17
396,6
397,5
398,7
399,3
400,16
401,4
402,6
403,7
404,5
405,7
406,17
407,6
408,7
409,3
410,4
411,5
412,16
413,7
414,6
415,7
416,17
417,4
418,6
419,5
420,3
421,7
422,7
423,16
424,6
425,5
426,7
427,4
428,17
429,3
430,6
431,7
432,5
433,7
434,16
435,4
436,6
437,18
438,8
439,8
440,7
441,17
442,8
443,8
444,8
445,8
446,5
447,8
448,6
449,8
450,7
451,8
452,4
453,8
454,8
455,16
456,8
457,7
458,18
459,5
460,6
461,8
462,17
463,8
464,7
465,8
466,4
467,8
468,6
469,5
470,8
471,7
472,18
473,16
474,8
475,17
476,8
477,6
478,4
479,7
480,8
481,5
482,8
483,7
484,18
485,6
486,8
487,16
488,4
489,17
490,8
491,5
492,7
493,6
494,8
495,7
496,18
497,8
498,4
499,5
500,8
501,6
502,16
503,7
504,17
505,8
506,5
507,7
508,8
509,18
510,6
511,4
512,8
513,7
514,17
515,16
516,8
517,6
518,5
519,4
520,18
521,8
522,7
523,6
524,8
525,5
526,17
527,7
528,16
529,9
530,9
531,9
532,8
533,19
534,9
535,9
536,18
537,9
538,9
539,6
540,9
541,7
542,9
543,8
544,9
545,5
546,9
547,9
548,8
549,17
550,9
551,7
552,6
553,19
554,16
555,9
556,18
557,9
558,8
559,5
560,9
561,7
562,9
563,6
564,8
565,9
566,19
567,17
568,9
569,7
570,18
571,8
572,5
573,16
574,9
575,6
576,9
577,8
578,7
579,9
580,19
581,5
582,9
583,17
584,8
585,6
586,18
587,9
588,7
589,16
590,8
591,9
592,19
593,6
594,5
595,9
596,7
597,8
598,17
599,18
600,9
601,9
