description,reactStr,reacIndex,A,beta,Ta
MicroReversibleArrhenius,O2(1)+O=3O,2,5.920767e-06,-2.133134e+00,1.056649e+05
MicroReversibleArrhenius,O2(2)+O=3O,2,1.174719e-07,-1.754210e+00,9.789781e+04
MicroReversibleArrhenius,O2(3)+O=3O,2,1.261515e-08,-1.523132e+00,9.059378e+04
MicroReversibleArrhenius,O2(4)+O=3O,2,1.034493e-16,2.845169e-01,5.750942e+04
MicroReversibleArrhenius,O2(5)+O=3O,2,1.061685e-18,6.991068e-01,5.574256e+04
MicroReversibleArrhenius,O2(6)+O=3O,2,2.975448e-20,1.055962e+00,4.513944e+04
MicroReversibleArrhenius,O2(7)+O=3O,2,1.260867e-21,1.405862e+00,2.978087e+04
MicroReversibleArrhenius,O2(8)+O=3O,2,4.365792e-20,1.064746e+00,1.775077e+04
MicroReversibleArrhenius,O2(9)+O=3O,2,2.881649e-18,6.902451e-01,9.517249e+03
MicroReversibleArrhenius,O2(10)+O=3O,2,1.898296e-17,5.589912e-01,1.046902e+03
MicroReversibleArrhenius,O2(2)+O=O2(1)+O,5,4.805761e-17,-1.413833e-01,1.958154e+03
MicroReversibleArrhenius,O2(3)+O=O2(1)+O,5,2.277715e-17,-1.203251e-01,1.497595e+03
MicroReversibleArrhenius,O2(3)+O=O2(2)+O,5,2.278855e-17,-4.111987e-02,1.323369e+03
MicroReversibleArrhenius,O2(4)+O=O2(1)+O,5,1.183734e-17,-1.128710e-01,1.093918e+03
MicroReversibleArrhenius,O2(4)+O=O2(2)+O,5,6.433236e-18,2.163982e-02,6.021008e+02
MicroReversibleArrhenius,O2(4)+O=O2(3)+O,5,1.749250e-17,-1.190353e-02,4.386040e+02
MicroReversibleArrhenius,O2(5)+O=O2(1)+O,5,1.667154e-16,-2.355808e-01,6.808560e+03
MicroReversibleArrhenius,O2(5)+O=O2(2)+O,5,1.079215e-18,2.184712e-01,1.142384e+03
MicroReversibleArrhenius,O2(5)+O=O2(3)+O,5,3.119222e-17,-6.093660e-02,2.951448e+03
MicroReversibleArrhenius,O2(5)+O=O2(4)+O,5,1.724709e-17,1.959009e-02,4.500836e+03
MicroReversibleArrhenius,O2(6)+O=O2(1)+O,5,4.634794e-18,-1.554140e-02,1.417265e+03
MicroReversibleArrhenius,O2(6)+O=O2(2)+O,5,5.199925e-18,4.637365e-02,1.219739e+03
MicroReversibleArrhenius,O2(6)+O=O2(3)+O,5,2.229144e-17,-2.908048e-02,1.801561e+03
MicroReversibleArrhenius,O2(6)+O=O2(4)+O,5,6.950544e-17,-4.851281e-02,5.034232e+03
MicroReversibleArrhenius,O2(6)+O=O2(5)+O,5,2.717942e-19,4.667377e-01,2.436428e+03
MicroReversibleArrhenius,O2(7)+O=O2(1)+O,5,3.729293e-19,1.802603e-01,3.092553e+02
MicroReversibleArrhenius,O2(7)+O=O2(2)+O,5,1.665241e-19,3.441644e-01,-6.250074e+01
MicroReversibleArrhenius,O2(7)+O=O2(3)+O,5,1.683386e-19,4.077716e-01,-3.082811e+02
MicroReversibleArrhenius,O2(7)+O=O2(4)+O,5,8.582847e-18,1.371578e-01,-1.127054e+01
MicroReversibleArrhenius,O2(7)+O=O2(5)+O,5,5.320042e-20,5.881264e-01,6.057524e+02
MicroReversibleArrhenius,O2(7)+O=O2(6)+O,5,6.538858e-19,3.911102e-01,9.173694e+02
MicroReversibleArrhenius,O2(8)+O=O2(1)+O,5,2.398051e-19,1.825145e-01,5.408426e+02
MicroReversibleArrhenius,O2(8)+O=O2(2)+O,5,6.777411e-20,3.914605e-01,-9.039709e+01
MicroReversibleArrhenius,O2(8)+O=O2(3)+O,5,5.532078e-20,4.755893e-01,-2.865659e+02
MicroReversibleArrhenius,O2(8)+O=O2(4)+O,5,9.100027e-19,3.275858e-01,2.103791e+02
MicroReversibleArrhenius,O2(8)+O=O2(5)+O,5,3.506538e-20,5.900994e-01,-4.409418e+02
MicroReversibleArrhenius,O2(8)+O=O2(6)+O,5,5.951471e-20,5.908147e-01,-7.198231e+02
MicroReversibleArrhenius,O2(8)+O=O2(7)+O,5,7.772017e-18,2.673601e-01,4.063460e+02
MicroReversibleArrhenius,O2(9)+O=O2(1)+O,5,1.093722e-19,2.230727e-01,6.582183e+02
MicroReversibleArrhenius,O2(9)+O=O2(2)+O,5,4.919583e-20,3.826940e-01,5.933716e+01
MicroReversibleArrhenius,O2(9)+O=O2(3)+O,5,3.747614e-20,4.705649e-01,-2.409632e+02
MicroReversibleArrhenius,O2(9)+O=O2(4)+O,5,2.949400e-19,3.955623e-01,1.394862e+02
MicroReversibleArrhenius,O2(9)+O=O2(5)+O,5,2.967671e-20,5.693420e-01,-7.605408e+02
MicroReversibleArrhenius,O2(9)+O=O2(6)+O,5,2.729941e-20,6.275240e-01,-1.069410e+03
MicroReversibleArrhenius,O2(9)+O=O2(7)+O,5,1.332407e-18,4.124550e-01,2.685357e+02
MicroReversibleArrhenius,O2(9)+O=O2(8)+O,5,3.481050e-17,1.291131e-01,6.576126e+02
MicroReversibleArrhenius,O2(10)+O=O2(1)+O,5,1.413578e-20,3.867848e-01,5.409652e+02
MicroReversibleArrhenius,O2(10)+O=O2(2)+O,5,1.193641e-20,4.813000e-01,-7.788497e+01
MicroReversibleArrhenius,O2(10)+O=O2(3)+O,5,1.175654e-20,5.410408e-01,-2.790821e+02
MicroReversibleArrhenius,O2(10)+O=O2(4)+O,5,6.652425e-20,4.988874e-01,1.123841e+02
MicroReversibleArrhenius,O2(10)+O=O2(5)+O,5,1.365790e-20,6.077891e-01,-4.204049e+02
MicroReversibleArrhenius,O2(10)+O=O2(6)+O,5,1.021090e-20,6.835999e-01,-7.206925e+02
MicroReversibleArrhenius,O2(10)+O=O2(7)+O,5,2.579918e-19,5.331945e-01,2.534576e+02
MicroReversibleArrhenius,O2(10)+O=O2(8)+O,5,3.118743e-18,3.333395e-01,8.041347e+02
MicroReversibleArrhenius,O2(10)+O=O2(9)+O,5,1.254644e-16,3.223100e-02,4.844214e+02
MicroReversibleArrhenius,O2(2)+O=O2(1)+O,6,8.969614e-23,1.337075e+00,-1.864014e+03
MicroReversibleArrhenius,O2(3)+O=O2(1)+O,6,4.514103e-21,7.432773e-01,-1.603447e+03
MicroReversibleArrhenius,O2(3)+O=O2(2)+O,6,1.729002e-21,1.080142e+00,-3.594445e+02
MicroReversibleArrhenius,O2(4)+O=O2(1)+O,6,1.985699e-20,5.315816e-01,-1.027777e+03
MicroReversibleArrhenius,O2(4)+O=O2(2)+O,6,2.927912e-20,5.850974e-01,-8.764158e+02
MicroReversibleArrhenius,O2(4)+O=O2(3)+O,6,1.190885e-19,6.362113e-01,1.076840e+03
MicroReversibleArrhenius,O2(5)+O=O2(1)+O,6,2.953006e-26,2.050193e+00,-1.217902e+03
MicroReversibleArrhenius,O2(5)+O=O2(2)+O,6,2.375992e-17,1.155841e-01,-1.010561e+03
MicroReversibleArrhenius,O2(5)+O=O2(3)+O,6,8.067627e-12,-1.180950e+00,5.828275e+03
MicroReversibleArrhenius,O2(5)+O=O2(4)+O,6,7.440985e-17,-1.350730e-01,5.918883e+03
MicroReversibleArrhenius,O2(6)+O=O2(1)+O,6,1.979358e-21,7.408090e-01,-6.625749e+02
MicroReversibleArrhenius,O2(6)+O=O2(2)+O,6,3.280685e-19,4.248868e-01,9.986450e+02
MicroReversibleArrhenius,O2(6)+O=O2(3)+O,6,2.565963e-16,-8.421226e-02,-8.276518e+01
MicroReversibleArrhenius,O2(6)+O=O2(4)+O,6,5.244704e-16,-1.280094e-01,5.929063e+03
MicroReversibleArrhenius,O2(6)+O=O2(5)+O,6,5.020492e-19,5.296945e-01,3.041633e+03
MicroReversibleArrhenius,O2(7)+O=O2(1)+O,6,1.409099e-21,7.193314e-01,-1.618694e+03
MicroReversibleArrhenius,O2(7)+O=O2(2)+O,6,1.454998e-21,7.955192e-01,-1.632471e+03
MicroReversibleArrhenius,O2(7)+O=O2(3)+O,6,4.915705e-21,7.432886e-01,-1.173519e+03
