# i,j,K[cm^3/s]
2,1,1.14571589e-11
3,1,7.15957308e-12
3,2,1.52440922e-11
4,1,4.86363054e-12
4,2,1.11390495e-11
4,3,1.74062559e-11
5,1,3.41897421e-12
5,2,8.33831870e-12
5,3,1.41630819e-11
5,4,1.99316188e-11
6,1,2.62712120e-12
6,2,6.53698113e-12
6,3,1.14394612e-11
6,4,1.71823191e-11
6,5,2.24272951e-11
7,1,2.00703915e-12
7,2,5.20688422e-12
7,3,9.36987200e-12
7,4,1.44631191e-11
7,5,2.04174941e-11
7,6,2.63047566e-11
8,1,1.59351425e-12
8,2,4.15470718e-12
8,3,7.57886100e-12
8,4,1.22152320e-11
8,5,1.78800970e-11
8,6,2.51406592e-11
8,7,3.16305195e-11
9,1,1.26462177e-12
9,2,3.34953144e-12
9,3,6.20785935e-12
9,4,1.01454655e-11
9,5,1.53433756e-11
9,6,2.22512089e-11
9,7,3.05218354e-11
9,8,3.84217081e-11
10,1,9.92235828e-13
10,2,2.65068726e-12
10,3,5.02775313e-12
10,4,8.33578209e-12
10,5,1.29600444e-11
10,6,1.92457372e-11
10,7,2.75453566e-11
10,8,3.75225326e-11
10,9,4.70923521e-11
11,1,7.43823798e-13
11,2,2.02763155e-12
11,3,3.90956184e-12
11,4,6.65240863e-12
11,5,1.04147973e-11
11,6,1.58434963e-11
11,7,2.32228570e-11
11,8,3.28715152e-11
11,9,4.46429453e-11
11,10,5.99468282e-11
12,1,5.49539824e-13
12,2,1.55131167e-12
12,3,3.01640387e-12
12,4,5.32127839e-12
12,5,8.53338387e-12
12,6,1.32293535e-11
12,7,1.97004908e-11
12,8,2.84996605e-11
12,9,3.97569066e-11
12,10,5.55002136e-11
12,11,8.02088078e-11
13,1,4.48368206e-13
13,2,1.40511117e-12
13,3,2.92375026e-12
13,4,5.31106359e-12
13,5,8.76997068e-12
13,6,1.38338042e-11
13,7,2.06829018e-11
13,8,3.00299971e-11
13,9,4.11639219e-11
13,10,5.57384469e-11
13,11,7.40203157e-11
13,12,6.06420032e-11
14,1,3.06257001e-13
14,2,1.10475796e-12
14,3,2.57413422e-12
14,4,4.90919382e-12
14,5,8.44839224e-12
14,6,1.35136306e-11
14,7,2.02224009e-11
14,8,2.90808664e-11
14,9,3.97652635e-11
14,10,5.30861562e-11
14,11,6.79135859e-11
14,12,5.54645102e-11
14,13,2.60621847e-11
15,1,1.79445512e-13
15,2,7.75760588e-13
15,3,2.03831248e-12
15,4,4.26207765e-12
15,5,7.58210659e-12
15,6,1.25105764e-11
15,7,1.90824313e-11
15,8,2.77833222e-11
15,9,3.84443536e-11
15,10,5.19048226e-11
15,11,6.56923350e-11
15,12,5.52284729e-11
15,13,2.80059571e-11
15,14,1.41579698e-11
16,1,8.48981311e-14
16,2,4.49671591e-13
16,3,1.41293140e-12
16,4,3.32725863e-12
16,5,6.54741798e-12
16,6,1.11265499e-11
16,7,1.77999830e-11
16,8,2.68044367e-11
16,9,3.80831284e-11
16,10,5.24063266e-11
16,11,6.58091680e-11
16,12,5.67646116e-11
16,13,3.07077555e-11
16,14,1.59466108e-11
16,15,8.38678517e-12
17,1,5.87245610e-14
17,2,2.04992969e-13
17,3,7.86122686e-13
17,4,2.28844216e-12
17,5,5.18435405e-12
17,6,1.00861713e-11
17,7,1.75106216e-11
17,8,2.74006869e-11
17,9,3.91407797e-11
17,10,5.41265895e-11
17,11,6.66776852e-11
17,12,5.89915004e-11
17,13,3.32505966e-11
17,14,1.79810435e-11
17,15,9.91471465e-12
17,16,5.02169555e-12
18,1,3.05971520e-14
18,2,9.57235901e-14
18,3,3.45229003e-13
18,4,1.16835274e-12
18,5,3.32610130e-12
18,6,7.70938557e-12
18,7,1.49098311e-11
18,8,2.61811474e-11
18,9,4.06951076e-11
18,10,5.70238755e-11
18,11,7.05163588e-11
18,12,6.43538805e-11
18,13,3.82316575e-11
18,14,2.16833935e-11
18,15,1.16715798e-11
18,16,6.22761287e-12
18,17,2.99952377e-12
