# i,K[cm^3/s]
1,2.03373829e-11
2,2.49971163e-11
3,3.15182060e-11
4,3.95588075e-11
5,4.90537822e-11
6,6.42502016e-11
7,8.45178391e-11
8,1.10116437e-10
9,1.46105861e-10
10,1.92009822e-10
11,2.54270215e-10
12,3.40124247e-10
13,4.54451568e-10
14,6.11751180e-10
15,8.59213914e-10
16,1.25404717e-09
17,2.38846325e-09
18,2.35336413e-09
19,2.35876323e-09
20,2.41350162e-09
21,2.42661756e-09
22,2.70382239e-09
23,2.83546511e-09
24,3.09302042e-09
25,3.30325362e-09
26,3.66608146e-09
27,4.53769187e-09
