# i,E[eV]
1,-4.95147453e+00
2,-4.65345564e+00
3,-4.35371181e+00
4,-4.04798992e+00
5,-3.74458886e+00
6,-3.43828661e+00
7,-3.13191744e+00
8,-2.82778087e+00
9,-2.52039436e+00
10,-2.21341853e+00
11,-1.90533764e+00
12,-1.59811885e+00
13,-1.29187578e+00
14,-9.83851909e-01
15,-6.76740709e-01
16,-3.71258758e-01
17,-6.24850991e-02
18,2.35891886e-01
19,5.41415302e-01
20,8.50864146e-01
21,1.15587784e+00
22,1.46245800e+00
23,1.77054854e+00
24,2.07718687e+00
25,2.37986639e+00
26,2.68933198e+00
27,2.98784341e+00
