# i,j,K[cm^3/s]
2,1,1.62205199e-10
3,1,3.40473372e-11
3,2,1.85411355e-10
4,1,1.22625275e-11
4,2,4.48400572e-11
4,3,1.89718453e-10
5,1,6.13441184e-12
5,2,1.98055191e-11
5,3,5.47702950e-11
5,4,1.96917327e-10
6,1,3.29044377e-12
6,2,9.86353996e-12
6,3,2.40325723e-11
6,4,5.71730851e-11
6,5,1.96176194e-10
7,1,1.85653153e-12
7,2,5.23919497e-12
7,3,1.20328846e-11
7,4,2.54260338e-11
7,5,5.84003451e-11
7,6,1.99480457e-10
8,1,1.23226667e-12
8,2,3.24740730e-12
8,3,7.01384491e-12
8,4,1.34394004e-11
8,5,2.69788436e-11
8,6,6.13728181e-11
8,7,1.93490278e-10
9,1,8.97996733e-13
9,2,2.19666145e-12
9,3,4.33158920e-12
9,4,7.74433453e-12
9,5,1.41346574e-11
9,6,2.78884077e-11
9,7,5.92592965e-11
9,8,1.95270157e-10
10,1,6.63191885e-13
10,2,1.59405934e-12
10,3,2.98684224e-12
10,4,5.03979112e-12
10,5,8.47937366e-12
10,6,1.48990755e-11
10,7,2.73108959e-11
10,8,5.99904604e-11
10,9,1.93792217e-10
11,1,5.12534539e-13
11,2,1.14187010e-12
11,3,2.13376288e-12
11,4,3.37804566e-12
11,5,5.39538446e-12
11,6,8.84384659e-12
11,7,1.44490286e-11
11,8,2.70927383e-11
11,9,5.79947084e-11
11,10,1.92847275e-10
12,1,3.87972320e-13
12,2,8.75221764e-13
12,3,1.56168208e-12
12,4,2.36412943e-12
12,5,3.70710604e-12
12,6,5.71047696e-12
12,7,8.69041499e-12
12,8,1.44383169e-11
12,9,2.60240154e-11
12,10,5.63625362e-11
12,11,1.93135208e-10
13,1,3.16864286e-13
13,2,6.83986008e-13
13,3,1.21192964e-12
13,4,1.79970838e-12
13,5,2.66737540e-12
13,6,3.95912973e-12
13,7,5.61935957e-12
13,8,8.76292087e-12
13,9,1.39097528e-11
13,10,2.50125063e-11
13,11,5.42378772e-11
13,12,1.86865048e-10
14,1,2.52124068e-13
14,2,5.38224329e-13
14,3,9.44688669e-13
14,4,1.37463623e-12
14,5,2.03689919e-12
14,6,2.88720358e-12
14,7,3.95792007e-12
14,8,5.81692280e-12
14,9,8.39515808e-12
14,10,1.33329168e-11
14,11,2.35130346e-11
14,12,4.92737650e-11
14,13,1.82377082e-10
15,1,2.14643870e-13
15,2,4.48410631e-13
15,3,7.60062839e-13
15,4,1.11863003e-12
15,5,1.56549519e-12
15,6,2.21412413e-12
15,7,2.93283765e-12
15,8,4.08442027e-12
15,9,5.61794581e-12
15,10,8.09025280e-12
15,11,1.23254506e-11
15,12,2.11865425e-11
15,13,4.54952424e-11
15,14,1.75181121e-10
16,1,1.71141750e-13
16,2,3.47824795e-13
16,3,6.11780676e-13
16,4,8.95739077e-13
16,5,1.25517416e-12
16,6,1.72734763e-12
16,7,2.21915750e-12
16,8,3.00259017e-12
16,9,3.96098992e-12
16,10,5.39863632e-12
16,11,7.61817200e-12
16,12,1.13263239e-11
16,13,1.95084691e-11
16,14,4.11133192e-11
16,15,1.61989345e-10
17,1,1.25845977e-13
17,2,2.80145069e-13
17,3,4.62526772e-13
17,4,6.86869994e-13
17,5,9.44136828e-13
17,6,1.26980826e-12
17,7,1.62524672e-12
17,8,2.15994951e-12
17,9,2.75943108e-12
17,10,3.58807776e-12
17,11,4.87286579e-12
17,12,6.61653893e-12
17,13,9.98705545e-12
17,14,1.66650280e-11
17,15,3.37268776e-11
17,16,1.40245019e-10
18,1,8.36671806e-14
18,2,1.83577645e-13
18,3,3.16112606e-13
18,4,4.71680840e-13
18,5,6.52010085e-13
18,6,8.94818467e-13
18,7,1.16151487e-12
18,8,1.56884720e-12
18,9,2.04164047e-12
18,10,2.69849972e-12
18,11,3.57051806e-12
18,12,4.73319252e-12
18,13,6.74156900e-12
18,14,1.01403837e-11
18,15,1.69073118e-11
18,16,3.47924683e-11
18,17,1.58181045e-10
19,1,5.80092399e-14
19,2,1.33630426e-13
19,3,2.14073096e-13
19,4,3.22220106e-13
19,5,4.74968263e-13
19,6,6.59075345e-13
19,7,8.51142129e-13
19,8,1.14032532e-12
19,9,1.48301193e-12
19,10,1.91617867e-12
19,11,2.56085698e-12
19,12,3.33588448e-12
19,13,4.60900752e-12
19,14,6.60635909e-12
19,15,9.78140035e-12
19,16,1.67076494e-11
19,17,3.64220865e-11
19,18,1.54724069e-10
20,1,4.34866804e-14
20,2,9.91123512e-14
20,3,1.59928032e-13
20,4,2.33343174e-13
20,5,3.47090132e-13
20,6,4.89983733e-13
20,7,6.25065946e-13
20,8,8.62588923e-13
20,9,1.06327716e-12
20,10,1.41171216e-12
20,11,1.83785556e-12
20,12,2.36070892e-12
20,13,3.13139171e-12
20,14,4.40538350e-12
20,15,6.08476863e-12
20,16,9.61163864e-12
20,17,1.70866942e-11
20,18,3.21887855e-11
20,19,1.59133194e-10
21,1,2.46974758e-14
21,2,6.04237657e-14
21,3,1.08484069e-13
21,4,1.62253806e-13
21,5,2.44691118e-13
21,6,3.40723290e-13
21,7,4.32535245e-13
21,8,5.93884274e-13
21,9,7.82352099e-13
21,10,9.90056540e-13
21,11,1.29663594e-12
21,12,1.62171249e-12
21,13,2.14176780e-12
21,14,2.84888832e-12
21,15,3.87981982e-12
21,16,5.68834405e-12
21,17,9.37081034e-12
21,18,1.46527727e-11
21,19,3.10172170e-11
21,20,1.58196048e-10
22,1,1.99754258e-14
22,2,3.63758225e-14
22,3,7.23670973e-14
22,4,1.18923206e-13
22,5,1.62805654e-13
22,6,2.19588338e-13
22,7,2.96845510e-13
22,8,3.88105176e-13
22,9,5.15048532e-13
22,10,6.80082850e-13
22,11,8.90489291e-13
22,12,1.12562907e-12
22,13,1.52717125e-12
22,14,1.98377099e-12
22,15,2.56887508e-12
22,16,3.80315362e-12
22,17,5.82376595e-12
22,18,7.88800159e-12
22,19,1.31200624e-11
22,20,2.82908745e-11
22,21,1.55993828e-10
23,1,7.76608976e-15
23,2,2.40280164e-14
23,3,4.25101824e-14
23,4,6.74091577e-14
23,5,1.05819579e-13
23,6,1.51661071e-13
23,7,2.03632884e-13
23,8,2.78328570e-13
23,9,3.76231110e-13
23,10,4.77807052e-13
23,11,6.22455426e-13
23,12,8.02089973e-13
23,13,1.04496546e-12
23,14,1.36963114e-12
23,15,1.76055894e-12
23,16,2.50629337e-12
23,17,3.61043213e-12
23,18,4.61297414e-12
23,19,6.88073116e-12
23,20,1.18187259e-11
23,21,2.70738640e-11
23,22,1.50716020e-10
24,1,3.48337589e-15
24,2,9.53520890e-15
24,3,1.89860119e-14
24,4,3.34523622e-14
24,5,6.27392763e-14
24,6,8.97824623e-14
24,7,1.07912801e-13
24,8,1.69527031e-13
24,9,2.15712102e-13
24,10,3.02627731e-13
24,11,4.26187521e-13
24,12,5.47005984e-13
24,13,7.01928251e-13
24,14,8.97283126e-13
24,15,1.22926807e-12
24,16,1.68533197e-12
24,17,2.34479102e-12
24,18,2.81039108e-12
24,19,3.73020862e-12
24,20,5.55490138e-12
24,21,1.05103600e-11
24,22,2.53357066e-11
24,23,1.48402932e-10
25,1,2.15408657e-16
25,2,4.58480290e-15
25,3,6.20445693e-15
25,4,1.15764629e-14
25,5,3.13434877e-14
25,6,4.79696017e-14
25,7,6.83406669e-14
25,8,1.12087049e-13
25,9,1.39327028e-13
25,10,2.14708501e-13
25,11,2.75888007e-13
25,12,3.58676620e-13
25,13,4.86729627e-13
25,14,6.48891292e-13
25,15,7.86039602e-13
25,16,1.14174384e-12
25,17,1.53571709e-12
25,18,1.79168682e-12
25,19,2.05436685e-12
25,20,2.84096440e-12
25,21,4.89755951e-12
25,22,9.74125229e-12
25,23,2.40028768e-11
25,24,1.37082457e-10
26,1,0.00000000e+00
26,2,9.12653615e-16
26,3,6.37237736e-15
26,4,5.65022754e-15
26,5,1.40352738e-14
26,6,1.75984680e-14
26,7,4.77976422e-14
26,8,5.95570152e-14
26,9,9.01708914e-14
26,10,1.33266710e-13
26,11,2.01603579e-13
26,12,2.84867431e-13
26,13,3.72438942e-13
26,14,4.89334159e-13
26,15,6.05496884e-13
26,16,7.96409729e-13
26,17,1.11461318e-12
26,18,1.11309167e-12
26,19,1.12435412e-12
26,20,1.37428791e-12
26,21,2.19293470e-12
26,22,4.09866352e-12
26,23,8.15975446e-12
26,24,1.94982302e-11
26,25,1.32256292e-10
27,1,0.00000000e+00
27,2,0.00000000e+00
27,3,0.00000000e+00
27,4,8.30957514e-17
27,5,1.02213293e-15
27,6,7.83138249e-15
27,7,2.20724541e-14
27,8,3.00207573e-14
27,9,7.05191748e-14
27,10,1.10421275e-13
27,11,1.33548502e-13
27,12,2.30575687e-13
27,13,3.03021583e-13
27,14,3.86564268e-13
27,15,5.14996871e-13
27,16,6.80183822e-13
27,17,9.37431310e-13
27,18,9.14685822e-13
27,19,7.98983327e-13
27,20,7.84942895e-13
27,21,9.47806413e-13
27,22,1.70385531e-12
27,23,3.12210862e-12
27,24,6.18055658e-12
27,25,1.79992660e-11
27,26,1.25703615e-10
