description,reactStr,reacIndex,A,beta,Ta
MicroReversibleArrhenius,O2(1)+O=3O,2,1.669464e-24,1.977301e+00,6.223152e+04
MicroReversibleArrhenius,O2(2)+O=3O,2,2.657315e-09,-1.392857e+00,9.683621e+04
MicroReversibleArrhenius,O2(3)+O=3O,2,3.248432e+09,-5.387430e+00,1.389403e+05
MicroReversibleArrhenius,O2(4)+O=3O,2,5.345676e-14,-3.211068e-01,8.021602e+04
MicroReversibleArrhenius,O2(5)+O=3O,2,5.033781e-16,1.137223e-01,6.916086e+04
MicroReversibleArrhenius,O2(6)+O=3O,2,1.211847e-13,-4.159596e-01,6.986893e+04
MicroReversibleArrhenius,O2(7)+O=3O,2,9.780581e-17,2.689427e-01,5.712581e+04
MicroReversibleArrhenius,O2(8)+O=3O,2,5.816526e-19,7.622002e-01,4.678080e+04
MicroReversibleArrhenius,O2(9)+O=3O,2,3.828932e-21,1.253278e+00,3.736569e+04
MicroReversibleArrhenius,O2(10)+O=3O,2,1.665929e-15,-4.884022e-03,4.513948e+04
MicroReversibleArrhenius,O2(11)+O=3O,2,8.869644e-18,5.112350e-01,3.593729e+04
MicroReversibleArrhenius,O2(12)+O=3O,2,1.030129e-20,1.172812e+00,2.476441e+04
MicroReversibleArrhenius,O2(13)+O=3O,2,1.605040e-23,1.817518e+00,1.506197e+04
MicroReversibleArrhenius,O2(14)+O=3O,2,1.609537e-22,1.598116e+00,1.228861e+04
MicroReversibleArrhenius,O2(15)+O=3O,2,1.023119e-21,1.426153e+00,8.885094e+03
MicroReversibleArrhenius,O2(16)+O=3O,2,7.252157e-21,1.246034e+00,5.283648e+03
MicroReversibleArrhenius,O2(17)+O=3O,2,3.455531e-19,8.970442e-01,9.718693e+02
MicroReversibleArrhenius,O2(18)+O=3O,2,1.028673e-19,1.012336e+00,-3.406069e+02
MicroReversibleArrhenius,O2(19)+O=3O,2,8.980254e-20,1.025550e+00,-4.612591e+02
MicroReversibleArrhenius,O2(20)+O=3O,2,8.828901e-20,1.029337e+00,-5.353755e+02
MicroReversibleArrhenius,O2(21)+O=3O,2,1.021600e-19,1.014890e+00,-6.293807e+02
MicroReversibleArrhenius,O2(22)+O=3O,2,2.171436e-19,9.475182e-01,-8.198939e+02
MicroReversibleArrhenius,O2(23)+O=3O,2,2.045204e-19,9.583865e-01,-8.537581e+02
MicroReversibleArrhenius,O2(24)+O=3O,2,4.116196e-19,8.966072e-01,-8.843287e+02
MicroReversibleArrhenius,O2(25)+O=3O,2,5.274437e-19,8.789168e-01,-7.669910e+02
MicroReversibleArrhenius,O2(26)+O=3O,2,9.224888e-19,8.328423e-01,-7.303584e+02
MicroReversibleArrhenius,O2(27)+O=3O,2,2.370622e-18,7.584773e-01,-7.605492e+02
MicroReversibleArrhenius,O2(2)+O=O2(1)+O,5,2.070435e-16,-3.230542e-01,2.230873e+03
MicroReversibleArrhenius,O2(3)+O=O2(1)+O,5,5.298032e-17,-2.213921e-01,2.051456e+03
MicroReversibleArrhenius,O2(3)+O=O2(2)+O,5,4.057249e-17,-1.265158e-01,1.968575e+03
MicroReversibleArrhenius,O2(4)+O=O2(1)+O,5,2.657224e-17,-1.821000e-01,2.064700e+03
MicroReversibleArrhenius,O2(4)+O=O2(2)+O,5,1.519530e-17,-5.231183e-02,1.639533e+03
MicroReversibleArrhenius,O2(4)+O=O2(3)+O,5,1.493897e-17,-7.746493e-03,1.692678e+03
MicroReversibleArrhenius,O2(5)+O=O2(1)+O,5,1.075812e-17,-1.129805e-01,2.020732e+03
MicroReversibleArrhenius,O2(5)+O=O2(2)+O,5,8.492431e-18,-1.537971e-02,1.653714e+03
