# Te [K]  Q(l,s) = PI*sigma^2*Omega*(l,s) [A^2]
# (1,1)  (1,2)  (1,3)  (1,4)  (1,5)
1.00000000e+02 1.03747730e+01 1.08241971e+01 1.12882380e+01 1.17507914e+01 1.22058779e+01 
2.00000000e+02 1.17289928e+01 1.26087249e+01 1.34524662e+01 1.42533329e+01 1.50101274e+01 
3.00000000e+02 1.29894705e+01 1.41879319e+01 1.52911687e+01 1.62976561e+01 1.72089135e+01 
4.00000000e+02 1.41242950e+01 1.55527432e+01 1.68128887e+01 1.79082409e+01 1.88446549e+01 
5.00000000e+02 1.51331853e+01 1.67118819e+01 1.80372311e+01 1.91211905e+01 1.99791081e+01 
6.00000000e+02 1.60206332e+01 1.76781999e+01 1.89908217e+01 1.99852320e+01 2.06933392e+01 
7.00000000e+02 1.67932192e+01 1.84679309e+01 1.97060535e+01 2.05568315e+01 2.10757597e+01 
8.00000000e+02 1.74589635e+01 1.90996476e+01 2.02180975e+01 2.08937396e+01 2.12112261e+01 
9.00000000e+02 1.80268274e+01 1.95929781e+01 2.05620777e+01 2.10502717e+01 2.11747889e+01 
1.00000000e+03 1.85062446e+01 1.99674911e+01 2.07710922e+01 2.10747061e+01 2.10292482e+01 
1.10000000e+03 1.89067243e+01 2.02418895e+01 2.08750740e+01 2.10082478e+01 2.08249592e+01 
1.20000000e+03 1.92375485e+01 2.04335021e+01 2.09002754e+01 2.08849391e+01 2.06007306e+01 
1.30000000e+03 1.95075590e+01 2.05580070e+01 2.08691546e+01 2.07320719e+01 2.03851649e+01 
1.40000000e+03 1.97250195e+01 2.06293188e+01 2.08005020e+01 2.05708365e+01 2.01981233e+01 
1.50000000e+03 1.98975373e+01 2.06595855e+01 2.07096967e+01 2.04170632e+01 2.00521804e+01 
1.60000000e+03 2.00320267e+01 2.06592527e+01 2.06090301e+01 2.02819824e+01 1.99540049e+01 
1.70000000e+03 2.01347036e+01 2.06371708e+01 2.05080561e+01 2.01729653e+01 1.99056347e+01 
1.80000000e+03 2.02111012e+01 2.06007240e+01 2.04139464e+01 2.00942205e+01 1.99056229e+01 
1.90000000e+03 2.02660994e+01 2.05559722e+01 2.03318361e+01 2.00474351e+01 1.99500379e+01 
2.00000000e+03 2.03039638e+01 2.05077952e+01 2.02651490e+01 2.00323471e+01 2.00333105e+01 
2.10000000e+03 2.03283904e+01 2.04600355e+01 2.02159000e+01 2.00472475e+01 2.01489270e+01 
2.20000000e+03 2.03425521e+01 2.04156349e+01 2.01849666e+01 2.00894084e+01 2.02899773e+01 
2.30000000e+03 2.03491471e+01 2.03767629e+01 2.01723316e+01 2.01554391e+01 2.04495697e+01 
2.40000000e+03 2.03504466e+01 2.03449360e+01 2.01772932e+01 2.02415756e+01 2.06211306e+01 
2.50000000e+03 2.03483403e+01 2.03211247e+01 2.01986463e+01 2.03439084e+01 2.07986078e+01 
2.60000000e+03 2.03443802e+01 2.03058510e+01 2.02348338e+01 2.04585568e+01 2.09765934e+01 
2.70000000e+03 2.03398219e+01 2.02992734e+01 2.02840724e+01 2.05817972e+01 2.11503874e+01 
2.80000000e+03 2.03356622e+01 2.03012625e+01 2.03444543e+01 2.07101522e+01 2.13160131e+01 
2.90000000e+03 2.03326742e+01 2.03114648e+01 2.04140278e+01 2.08404490e+01 2.14702000e+01 
3.00000000e+03 2.03314386e+01 2.03293587e+01 2.04908601e+01 2.09698518e+01 2.16103433e+01 
3.10000000e+03 2.03323726e+01 2.03543013e+01 2.05730841e+01 2.10958762e+01 2.17344494e+01 
3.20000000e+03 2.03357551e+01 2.03855666e+01 2.06589330e+01 2.12163874e+01 2.18410727e+01 
3.30000000e+03 2.03417495e+01 2.04223785e+01 2.07467631e+01 2.13295891e+01 2.19292500e+01 
3.40000000e+03 2.03504234e+01 2.04639367e+01 2.08350692e+01 2.14340046e+01 2.19984346e+01 
3.50000000e+03 2.03617663e+01 2.05094371e+01 2.09224923e+01 2.15284527e+01 2.20484335e+01 
3.60000000e+03 2.03757048e+01 2.05580893e+01 2.10078221e+01 2.16120220e+01 2.20793489e+01 
3.70000000e+03 2.03921155e+01 2.06091281e+01 2.10899954e+01 2.16840427e+01 2.20915242e+01 
3.80000000e+03 2.04108367e+01 2.06618240e+01 2.11680917e+01 2.17440594e+01 2.20854964e+01 
3.90000000e+03 2.04316776e+01 2.07154891e+01 2.12413261e+01 2.17918043e+01 2.20619538e+01 
4.00000000e+03 2.04544268e+01 2.07694823e+01 2.13090411e+01 2.18271717e+01 2.20216992e+01 
4.10000000e+03 2.04788591e+01 2.08232120e+01 2.13706977e+01 2.18501943e+01 2.19656183e+01 
4.20000000e+03 2.05047413e+01 2.08761370e+01 2.14258650e+01 2.18610215e+01 2.18946524e+01 
4.30000000e+03 2.05318366e+01 2.09277671e+01 2.14742111e+01 2.18598995e+01 2.18097770e+01 
4.40000000e+03 2.05599092e+01 2.09776626e+01 2.15154928e+01 2.18471538e+01 2.17119818e+01 
4.50000000e+03 2.05887265e+01 2.10254320e+01 2.15495464e+01 2.18231732e+01 2.16022569e+01 
4.60000000e+03 2.06180624e+01 2.10707313e+01 2.15762785e+01 2.17883959e+01 2.14815793e+01 
4.70000000e+03 2.06476991e+01 2.11132606e+01 2.15956579e+01 2.17432977e+01 2.13509041e+01 
4.80000000e+03 2.06774281e+01 2.11527623e+01 2.16077070e+01 2.16883814e+01 2.12111566e+01 
4.90000000e+03 2.07070519e+01 2.11890182e+01 2.16124952e+01 2.16241672e+01 2.10632268e+01 
