# Te [K]  Q(l,s) = PI*sigma^2*Omega*(l,s) [A^2]
# (1,1)  (1,2)  (1,3)  (1,4)  (1,5)
1.00000000e+02 1.10069651e+01 9.34107809e+00 7.92383284e+00 6.69607796e+00 5.63819795e+00 
2.00000000e+02 7.17060108e+00 5.24054092e+00 3.82304577e+00 2.79978064e+00 2.07154760e+00 
3.00000000e+02 4.91378690e+00 3.18132639e+00 2.08809284e+00 1.40825990e+00 9.87482437e-01 
4.00000000e+02 3.53568183e+00 2.08896347e+00 1.28498158e+00 8.42419828e-01 5.99774661e-01 
5.00000000e+02 2.65386877e+00 1.46885649e+00 8.79990815e-01 5.91588393e-01 4.55164194e-01 
6.00000000e+02 2.06538824e+00 1.09783872e+00 6.65942983e-01 4.81618188e-01 4.14843452e-01 
7.00000000e+02 1.65917342e+00 8.68325788e-01 5.53354888e-01 4.43747684e-01 4.27697972e-01 
8.00000000e+02 1.37150912e+00 7.24570246e-01 4.99618131e-01 4.47314144e-01 4.71983572e-01 
9.00000000e+02 1.16410564e+00 6.35773992e-01 4.82725924e-01 4.77239869e-01 5.37337219e-01 
1.00000000e+03 1.01297268e+00 5.83966201e-01 4.90520119e-01 5.25494442e-01 6.18339610e-01 
1.10000000e+03 9.02520222e-01 5.58161504e-01 5.15893137e-01 5.87504149e-01 7.11922691e-01 
1.20000000e+03 8.22289581e-01 5.51371446e-01 5.54484215e-01 6.60507917e-01 8.16221441e-01 
1.30000000e+03 7.65066529e-01 5.58993823e-01 6.03502482e-01 7.42749433e-01 9.30024059e-01 
1.40000000e+03 7.25751528e-01 5.77904396e-01 6.61093054e-01 8.33055806e-01 1.05249096e+00 
1.50000000e+03 7.00660820e-01 6.05924069e-01 7.25979707e-01 9.30606394e-01 1.18300302e+00 
1.60000000e+03 6.87081320e-01 6.41495315e-01 7.97255341e-01 1.03480028e+00 1.32107556e+00 
1.70000000e+03 6.82979678e-01 6.83479587e-01 8.74254785e-01 1.14517737e+00 1.46630769e+00 
1.80000000e+03 6.86807651e-01 7.31026985e-01 9.56475178e-01 1.26136973e+00 1.61835126e+00 
1.90000000e+03 6.97369144e-01 7.83490359e-01 1.04352477e+00 1.38307084e+00 1.77689138e+00 
2.00000000e+03 7.13727657e-01 8.40367443e-01 1.13508919e+00 1.51001547e+00 1.94163380e+00 
2.10000000e+03 7.35140730e-01 9.01261113e-01 1.23090871e+00 1.64196640e+00 2.11229664e+00 
2.20000000e+03 7.61012800e-01 9.65851590e-01 1.33076269e+00 1.77870530e+00 2.28860494e+00 
2.30000000e+03 7.90860790e-01 1.03387669e+00 1.43445867e+00 1.92002658e+00 2.47028702e+00 
2.40000000e+03 8.24288676e-01 1.10511759e+00 1.54182464e+00 2.06573303e+00 2.65707205e+00 
2.50000000e+03 8.60968454e-01 1.17938839e+00 1.65270352e+00 2.21563280e+00 2.84868860e+00 
2.60000000e+03 9.00625743e-01 1.25652846e+00 1.76694912e+00 2.36953733e+00 3.04486374e+00 
2.70000000e+03 9.43028777e-01 1.33639662e+00 1.88442323e+00 2.52725985e+00 3.24532263e+00 
2.80000000e+03 9.87979911e-01 1.41886686e+00 2.00499340e+00 2.68861443e+00 3.44978839e+00 
2.90000000e+03 1.03530901e+00 1.50382498e+00 2.12853142e+00 2.85341534e+00 3.65798231e+00 
3.00000000e+03 1.08486826e+00 1.59116603e+00 2.25491205e+00 3.02147668e+00 3.86962420e+00 
3.10000000e+03 1.13652805e+00 1.68079243e+00 2.38401223e+00 3.19261220e+00 4.08443280e+00 
3.20000000e+03 1.19017374e+00 1.77261234e+00 2.51571044e+00 3.36663529e+00 4.30212644e+00 
3.30000000e+03 1.24570301e+00 1.86653855e+00 2.64988625e+00 3.54335905e+00 4.52242362e+00 
3.40000000e+03 1.30302375e+00 1.96248750e+00 2.78642000e+00 3.72259643e+00 4.74504374e+00 
3.50000000e+03 1.36205237e+00 2.06037858e+00 2.92519266e+00 3.90416054e+00 4.96970778e+00 
3.60000000e+03 1.42271239e+00 2.16013356e+00 3.06608567e+00 4.08786483e+00 5.19613900e+00 
3.70000000e+03 1.48493329e+00 2.26167612e+00 3.20898091e+00 4.27352346e+00 5.42406371e+00 
3.80000000e+03 1.54864962e+00 2.36493154e+00 3.35376073e+00 4.46095161e+00 5.65321187e+00 
3.90000000e+03 1.61380015e+00 2.46982641e+00 3.50030797e+00 4.64996581e+00 5.88331781e+00 
4.00000000e+03 1.68032732e+00 2.57628844e+00 3.64850603e+00 4.84038426e+00 6.11412082e+00 
4.10000000e+03 1.74817663e+00 2.68424630e+00 3.79823901e+00 5.03202723e+00 6.34536576e+00 
4.20000000e+03 1.81729625e+00 2.79362952e+00 3.94939175e+00 5.22471732e+00 6.57680358e+00 
4.30000000e+03 1.88763664e+00 2.90436838e+00 4.10185004e+00 5.41827983e+00 6.80819179e+00 
4.40000000e+03 1.95915025e+00 3.01639393e+00 4.25550067e+00 5.61254301e+00 7.03929495e+00 
4.50000000e+03 2.03179122e+00 3.12963787e+00 4.41023162e+00 5.80733841e+00 7.26988503e+00 
4.60000000e+03 2.10551526e+00 3.24403262e+00 4.56593217e+00 6.00250108e+00 7.49974174e+00 
4.70000000e+03 2.18027937e+00 3.35951126e+00 4.72249303e+00 6.19786986e+00 7.72865287e+00 
4.80000000e+03 2.25604175e+00 3.47600756e+00 4.87980650e+00 6.39328759e+00 7.95641445e+00 
4.90000000e+03 2.33276168e+00 3.59345603e+00 5.03776655e+00 6.58860130e+00 8.18283101e+00 
5.00000000e+03 2.41039938e+00 3.71179190e+00 5.19626897e+00 6.78366241e+00 8.40771572e+00 
5.10000000e+03 2.48891596e+00 3.83095116e+00 5.35521147e+00 6.97832685e+00 8.63089046e+00 
5.20000000e+03 2.56827331e+00 3.95087063e+00 5.51449382e+00 7.17245523e+00 8.85218590e+00 
5.30000000e+03 2.64843408e+00 4.07148793e+00 5.67401786e+00 7.36591294e+00 9.07144154e+00 
5.40000000e+03 2.72936164e+00 4.19274159e+00 5.83368771e+00 7.55857022e+00 9.28850569e+00 
5.50000000e+03 2.81101996e+00 4.31457102e+00 5.99340974e+00 7.75030227e+00 9.50323539e+00 
5.60000000e+03 2.89337370e+00 4.43691659e+00 6.15309270e+00 7.94098925e+00 9.71549641e+00 
5.70000000e+03 2.97638807e+00 4.55971965e+00 6.31264778e+00 8.13051637e+00 9.92516306e+00 
5.80000000e+03 3.06002888e+00 4.68292255e+00 6.47198866e+00 8.31877386e+00 1.01321181e+01 
5.90000000e+03 3.14426250e+00 4.80646870e+00 6.63103152e+00 8.50565698e+00 1.03362527e+01 
6.00000000e+03 3.22905586e+00 4.93030258e+00 6.78969514e+00 8.69106601e+00 1.05374661e+01 
6.10000000e+03 3.31437642e+00 5.05436976e+00 6.94790089e+00 8.87490624e+00 1.07356653e+01 
6.20000000e+03 3.40019217e+00 5.17861695e+00 7.10557276e+00 9.05708787e+00 1.09307654e+01 
6.30000000e+03 3.48647164e+00 5.30299203e+00 7.26263737e+00 9.23752601e+00 1.11226888e+01 
6.40000000e+03 3.57318388e+00 5.42744402e+00 7.41902401e+00 9.41614060e+00 1.13113653e+01 
6.50000000e+03 3.66029847e+00 5.55192314e+00 7.57466459e+00 9.59285631e+00 1.14967316e+01 
6.60000000e+03 3.74778551e+00 5.67638082e+00 7.72949367e+00 9.76760249e+00 1.16787316e+01 
6.70000000e+03 3.83561561e+00 5.80076972e+00 7.88344846e+00 9.94031305e+00 1.18573153e+01 
6.80000000e+03 3.92375993e+00 5.92504371e+00 8.03646876e+00 1.01109264e+01 1.20324395e+01 
6.90000000e+03 4.01219012e+00 6.04915791e+00 8.18849699e+00 1.02793852e+01 1.22040669e+01 
7.00000000e+03 4.10087838e+00 6.17306869e+00 8.33947813e+00 1.04456367e+01 1.23721658e+01 
7.10000000e+03 4.18979742e+00 6.29673364e+00 8.48935971e+00 1.06096318e+01 1.25367105e+01 
7.20000000e+03 4.27892050e+00 6.42011164e+00 8.63809176e+00 1.07713258e+01 1.26976803e+01 
7.30000000e+03 4.36822136e+00 6.54316279e+00 8.78562679e+00 1.09306779e+01 1.28550597e+01 
7.40000000e+03 4.45767433e+00 6.66584845e+00 8.93191975e+00 1.10876508e+01 1.30088381e+01 
7.50000000e+03 4.54725421e+00 6.78813121e+00 9.07692797e+00 1.12422112e+01 1.31590093e+01 
7.60000000e+03 4.63693636e+00 6.90997492e+00 9.22061113e+00 1.13943291e+01 1.33055717e+01 
7.70000000e+03 4.72669667e+00 7.03134463e+00 9.36293120e+00 1.15439781e+01 1.34485275e+01 
7.80000000e+03 4.81651154e+00 7.15220664e+00 9.50385242e+00 1.16911348e+01 1.35878831e+01 
7.90000000e+03 4.90635792e+00 7.27252844e+00 9.64334119e+00 1.18357793e+01 1.37236483e+01 
8.00000000e+03 4.99621327e+00 7.39227871e+00 9.78136610e+00 1.19778946e+01 1.38558365e+01 
8.10000000e+03 5.08605558e+00 7.51142733e+00 9.91789781e+00 1.21174664e+01 1.39844643e+01 
8.20000000e+03 5.17586336e+00 7.62994535e+00 1.00529090e+01 1.22544835e+01 1.41095512e+01 
8.30000000e+03 5.26561565e+00 7.74780495e+00 1.01863744e+01 1.23889373e+01 1.42311197e+01 
8.40000000e+03 5.35529200e+00 7.86497948e+00 1.03182706e+01 1.25208215e+01 1.43491949e+01 
8.50000000e+03 5.44487249e+00 7.98144339e+00 1.04485760e+01 1.26501326e+01 1.44638043e+01 
8.60000000e+03 5.53433768e+00 8.09717223e+00 1.05772709e+01 1.27768692e+01 1.45749777e+01 
8.70000000e+03 5.62366868e+00 8.21214264e+00 1.07043375e+01 1.29010321e+01 1.46827470e+01 
8.80000000e+03 5.71284708e+00 8.32633232e+00 1.08297594e+01 1.30226243e+01 1.47871460e+01 
