#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,2
36,2
37,2
38,2
39,1
40,2
41,2
42,2
43,2
44,2
45,1
46,2
47,2
48,2
49,1
50,2
51,2
52,2
53,1
54,2
55,2
56,1
57,2
58,2
59,1
60,2
61,2
62,1
63,2
64,1
65,2
66,2
67,1
68,2
69,2
70,1
71,2
72,1
73,2
74,2
75,1
76,2
77,1
78,2
79,2
80,1
81,3
82,3
83,3
84,3
85,3
86,3
87,2
88,3
89,3
90,3
91,1
92,3
93,2
94,3
95,3
96,3
97,2
98,1
99,3
100,3
101,3
102,2
103,3
104,1
105,3
106,2
107,3
108,1
109,3
110,2
111,3
112,3
113,2
114,1
115,3
116,3
117,2
118,1
119,3
120,2
121,3
122,1
123,3
124,2
125,3
126,1
127,2
128,3
129,3
130,2
131,1
132,3
133,2
134,3
135,1
136,3
137,2
138,4
139,4
140,4
141,4
142,4
143,4
144,3
145,4
146,4
147,1
148,4
149,4
150,2
151,3
152,4
153,4
154,4
155,1
156,3
157,4
158,2
159,4
160,4
161,3
162,4
163,2
164,1
165,4
166,3
167,4
168,4
169,2
170,3
171,1
172,4
173,4
174,3
175,2
176,4
177,1
178,4
179,3
180,2
181,4
182,3
183,4
184,1
185,4
186,2
187,3
188,4
189,1
190,4
191,2
192,3
193,4
194,3
195,1
196,2
197,4
198,4
199,3
200,2
201,1
202,4
203,5
204,5
205,5
206,3
207,5
208,5
209,5
210,5
211,4
212,5
213,5
214,2
215,5
216,3
217,5
218,1
219,4
220,5
221,5
222,5
223,4
224,2
225,3
226,5
227,5
228,1
229,4
230,5
231,3
232,5
233,2
234,4
235,5
236,5
237,1
238,3
239,4
240,5
241,2
242,5
243,4
244,3
245,5
246,1
247,5
248,2
249,4
250,5
251,3
252,4
253,5
254,1
255,2
256,5
257,3
258,4
259,5
260,2
261,5
262,1
263,4
264,3
265,5
266,4
267,5
268,3
269,2
270,16
271,5
272,4
273,3
274,5
275,6
276,6
277,2
278,6
279,6
280,6
281,4
282,6
283,16
284,6
285,5
286,6
287,6
288,6
289,3
290,6
291,4
292,5
293,6
294,2
295,6
296,6
297,16
298,5
299,6
300,3
301,4
302,6
303,5
304,6
305,2
306,6
307,4
308,3
309,5
310,6
311,16
312,6
313,2
314,4
315,5
316,6
317,3
318,6
319,5
320,16
321,6
322,4
323,2
324,6
325,5
326,3
327,6
328,4
329,6
330,5
331,16
332,2
333,3
334,6
335,4
336,5
337,6
338,6
339,16
340,5
341,3
342,4
343,2
344,6
345,5
346,6
347,4
348,3
349,16
350,17
351,6
352,5
353,6
354,4
355,7
356,7
357,7
358,7
359,7
360,3
361,7
362,5
363,7
364,7
365,6
366,17
367,7
368,16
369,7
370,4
371,7
372,6
373,5
374,7
375,7
376,3
377,7
378,6
379,7
380,17
381,5
382,4
383,7
384,16
385,6
386,7
387,3
388,7
389,5
390,7
391,6
392,4
393,17
394,7
395,16
396,6
397,7
398,5
399,3
400,7
401,4
402,6
403,7
404,5
405,17
406,7
407,3
408,6
409,16
410,4
411,7
412,5
413,7
414,6
415,17
416,7
417,3
418,4
419,5
420,6
421,16
422,7
423,7
424,6
425,17
426,4
427,5
428,3
429,7
430,6
431,16
432,7
433,5
434,4
435,7
436,17
437,18
438,6
439,7
440,8
441,8
442,8
443,5
444,8
445,8
446,8
447,8
448,6
449,16
450,4
451,8
452,7
453,8
454,8
455,18
456,8
457,17
458,5
459,7
460,8
461,6
462,8
463,4
464,8
465,7
466,8
467,16
468,6
469,8
470,5
471,18
472,8
473,7
474,17
475,8
476,4
477,6
478,8
479,7
480,5
481,8
482,18
483,16
484,8
485,7
486,6
487,17
488,4
489,8
490,5
491,7
492,8
493,6
494,8
495,18
496,7
497,16
498,4
499,8
500,5
501,17
502,6
503,8
504,7
505,8
506,18
507,5
508,4
509,6
510,7
511,8
512,16
513,17
514,8
515,7
516,6
517,5
518,8
519,18
520,4
521,7
522,8
523,16
524,17
525,6
526,5
527,8
528,7
529,19
530,18
531,9
532,8
533,9
534,9
535,9
536,9
537,6
538,9
539,9
540,7
541,9
542,8
543,5
544,9
545,17
546,9
547,16
548,9
549,19
550,9
551,8
552,6
553,18
554,7
555,9
556,9
557,5
558,8
559,9
560,9
561,7
562,6
563,17
564,9
565,19
566,8
567,16
568,9
569,18
570,5
571,9
572,7
573,8
574,6
575,9
576,9
577,19
578,8
579,7
580,17
581,9
582,5
583,18
584,16
585,6
586,9
587,8
588,7
589,9
590,19
591,8
592,9
593,5
594,6
595,17
596,18
597,9
598,7
599,8
600,16
601,9
