# This is an example of reactions list input

# >>>

#description,reactStr,A,beta,Ta,reacIndex
MicroReversibleArrhenius,O2(1)+O=3O,4.3353e-11,+0.0000E+00,+0.0000E+00,2
MicroReversibleArrhenius,O2(2)+O=3O,1.9545e-10,+0.0000E+00,+0.0000E+00,2
MicroReversibleArrhenius,O2(3)+O=3O,1.7262e-09,+0.0000E+00,+0.0000E+00,2
MicroReversibleArrhenius,O2(2)+O=O2(1)+O,1.2436e-10,+0.0000E+00,+0.0000E+00,5
MicroReversibleArrhenius,O2(3)+O=O2(1)+O,1.0027e-11,+0.0000E+00,+0.0000E+00,5
MicroReversibleArrhenius,O2(3)+O=O2(2)+O,1.1176e-10,+0.0000E+00,+0.0000E+00,5
MicroReversibleArrhenius,O2(2)+O=O2(1)+O,4.4402e-11,+0.0000E+00,+0.0000E+00,6
MicroReversibleArrhenius,O2(3)+O=O2(1)+O,1.8119e-11,+0.0000E+00,+0.0000E+00,6
MicroReversibleArrhenius,O2(3)+O=O2(2)+O,1.1102e-10,+0.0000E+00,+0.0000E+00,6

# <<<
